fund,service,access_point,scope_items,tariff_pairs,block_tariff,rules_items,rules_block,mapping_type,tariff_raw,access_rules_raw
SOCIAL HEALTH INSUR ANCE FUND,PHAR MACY PACKAGE,"➢ ClassC, DandE public faci lity, faith based, and contra cted indepen dent Class, and labo rato ries","['Special ized testing as capt ured in the essen tial labora tory list sand WHO lists for the chronic condit ions:', 'Diab etes type 1 & 2,', 'Hype rten sion,', 'Asthma', 'Chronic renal disea seon dial ysis', 'Post transp lant immun osup pres sion', 'Chronic obstruc tive pulmo nary disease', 'Sickle cell', 'Onco logy medic ines', 'Anti-D', 'Anti Snake Venom', 'Anti Rabies', 'Mental Health long-ac ting medic ines', 'Epil epsy']",[],,"[[], [], [], [], [], [], [], [], [], [], [], [], [], []]","['Quart erly limit of 5, 000 per person as capt ured inthe chronic disease regi stry']",block,➢ PPM- Fee for service,"➢ Quart erly limit of 5, 000 per person as captured inthe chronic disease regi stry"
SOCIAL HEALTH INSUR ANCE FUND,END OF LIFE SERV ICES,Level 4 - 6,['Prepara tion and storage of the body in mort uary'],"[{'label': '', 'amount': 500.0}]",500.0,[[]],['Limit up to 5 days'],block,➢ KES 500 per day ➢ PPM: Per Diem,➢ Limit up to 5 days
"EMERG ENCY, CHRONIC AND CRIT ICAL ILLNESS FUND",AMBUL ANCE EVACUA TION SERV ICES,Mana geme ntof all trans fers / evacuation sthro ugha Nati onal Ambul ance Call Centre,['Evacua tion from the pointof the inci dent to the nearest faci lity with an & center and the tran sfer of pati ents requi ring emerg ency and further clin ical care from the faci lity.'],"[{'label': 'PPM: Fee -for- serv ice- fixed rate', 'amount': 25.0}, {'label': 'Acostp erkm tariff for serv ices beyond', 'amount': 25.0}]",4.0,[[]],"['Access ible by all Kenyans', 'Procure ment ofthegr ound evacua tion serv ices, as an outsou rced service to prov ider / consor tium of provi ders able to meet the crit eria set for at least one region.']",itemized,"➢ PPM: Fee -for- serv ice- fixed rate- 25 kmrad ius- upto KES 4, 500 ( Intra-m etro ). ➢ Acostp erkm tariff for serv ices beyond 25 km, KES 75 per km ( Extra-m etro )","➢ Access ible by all Kenyans ➢ Procurement ofthegr ound evacua tion serv ices, as an outsou rced service to prov ider / consor tium of provi ders able to meet the crit eria set for at least one region."
"EMERG ENCY, CHRONIC AND CRIT ICAL ILLNESS FUND",ACCI DENT & EMERG ENCY SERV ICES,Level 2 - 6,"['This cover incl udes resus cita tion and stabi liza tion due to:', 'Cardiac and pulmo nary arrest', 'Major trauma ( severe burns, head inju ries, severe wounds, mult iple fract ures )', 'Shockst ates ( Haem orrh agic, septic, dehydra tion )', 'Altere dlev elof consc ious ness ( unconsc ious ness, confu sion ) Severe respira tory dist ress', 'Seiz ures']","[{'label': 'Cardiac and pulmonary arrest –', 'amount': 5015.0}, {'label': 'Major trauma ( severe burns, head inju ries, severe wounds, mult iple fract ures )–', 'amount': 13.0}]",5015.0,"[['Resus cita tion and stabi liza tion to be acce ssed from level 2 - 6 byall resid ents in Kenya.'], [], [], [], [], []]","['Care for uptoam axim umof 24 hours after which the SHIFis activ ated for paid up members.', 'The amounts prov ided arethe maximum reim burs able tariffs. The Autho rity shall reimb urse the hosp ital bill amount to the maximum tariffs prov ided.']",itemized,"➢ PPM: Fee for service up to indic ated limits. ➢ Cardiac and pulmonary arrest – KES 5015 for investigations and KES 97, 900 for manage ment. ➢ Major trauma ( severe burns, head inju ries, severe wounds, mult iple fract ures )– KES 13, 614 for inve sti gations and KES 79, 549 for manage ment.",➢ Resus cita tion and stabi liza tion to be acce ssed from level 2 - 6 byall resid ents in Kenya. ➢ Care for uptoamaxim umof 24 hours after which theSHIFis activ ated for paid up members. ➢ The amounts provided arethe maximum reimburs able tariffs. The Autho rity shall reimb urse the hosp ital bill amount to the maximum tariffs prov ided.
"EMERG ENCY, CHRONIC AND CRIT ICAL ILLNESS FUND",ACCI DENT & EMERG ENCY SERV ICES,"➢ Shockst ates ( Haem orrh agic, septic, dehydra tion ) - KES 7, 637 for inve sti gations and KES 67, 272 for manage ment. ➢ Altere dlev elof consc ious ness ( unconsc ious ness, confu sion )- KES 12, 656 for inve sti gations and KES 8, 000 for manage ment. ➢ Severe respira tory dist ress - KES 6, 315 for investigations and KES 8, 000 for manage ment. ➢ Seiz ures - KES 12, 156 for investigations and KES 8, 950 for manage ment. ➢ Chest pain ( Acute Coro nary Syndrome / Pulmonary embolism )- KES 11, 233 for investigations and KES 41, 400 for manage ment. ➢ Acute Cerebrovascular Accid ents ( Strokes ) - KES 11, 033 for inve sti gations andKES 95, 200 for manage ment. ➢ Anti Snake Venom – Up to KES 6, 600 for first dose","['Chest pain ( Acute Coro nary Synd rome / Pulmo nary embo lism ) Acute Cerebro vasc ular Accid ents ( Strokes )', 'Anti Snake Venom & Anti Rabies']",[],,"[[], []]",[],block,,
"EMERG ENCY, CHRONIC AND CRIT ICAL ILLNESS FUND",ACCI DENT & EMERG ENCY SERV ICES,,[],"[{'label': 'Anti Rabies – Up to', 'amount': 3.0}]",3.0,[],[],block,"➢ Anti Rabies – Up to KES 3, 800 for the first dose",
"EMERG ENCY, CHRONIC AND CRIT ICAL ILLNESS FUND",CRIT ICAL ILLNESS PACKAGE,Level 4 - 6,"['This will cater for Crit ical care admis sion sinI nten sive Care Unit ( ICU ), High Depend ency Unit ( HDU ), - include NICU, PICU, Burns Unit']","[{'label': 'ICU –', 'amount': 35.0}]",35.0,[[]],"['ICU up to 14 days', 'HDU up to 10 days', 'Co-pay ment for amounts above daily per diem rate']",itemized,"ICU – KES 35, 000 HDU – KES 10, 000 PPM: Per diem rate",➢ ICU up to 14 days ➢ HDU up to 10 days ➢ Co-pay ment for amounts above daily per diem rate
"EMERG ENCY, CHRONIC AND CRIT ICAL ILLNESS FUND",PALLIA TIVE CARE SERV ICES,Level 4 - 6,"['This benefit aims at enhan cing the quality of life for pati ents with serious chronic or life - thr eate ning illne sses which incl udes symptom manage ment, psycho social support, care giver support and end - of- life care. CHRONIC ILLNE SSES']","[{'label': '.', 'amount': 5.0}]",5.0,[[]],"['Up to 60 days', 'Co-pay ment for amounts above daily per diem rate']",itemized,"KES. 5, 000 PPM: Per diem rate",➢ Up to 60 days ➢ Co-pay ment for amounts above daily per diem rate
"EMERG ENCY, CHRONIC AND CRIT ICAL ILLNESS FUND",PALLIA TIVE CARE SERV ICES,Level 4 - 6,"['Long itud inal mana geme ntof chronic condi tion sand dise ases beyond the SHIF limit for diab etes mellitu sand itsc ompl icat ions, hype rten sion, cardio vasc ular condit ions, asthma, COPD, sickle cell disease, dial ysis, pre- transp lant evalua tion, immun osup pres sive therapy post renal transp lant,', 'Manage ment of cancers beyond the SHIF limit', 'Mana geme ntof mental, neur odev elop mental, affec tive, psyc hoac tive disor ders and subst ance addic tive disor ders and other mental health condit ions', 'Sele cted special ized surge ries ASSIS TIVE DEVICES']",[],,"[[], [], [], []]",['Must be paid up SHIF member.'],block,Same tariff and PPMsapplied under SHIF,➢ Must be paid up SHIF member.
"EMERG ENCY, CHRONIC AND CRIT ICAL ILLNESS FUND",PALLIA TIVE CARE SERV ICES,Level 4 - 6,['Provi sion of assis tive devices to support pati ents with per manent phys ical and / or sensory disa bili ties and progres sive chronic condit ions such as Parki nson ’ Disease and mult iple scler osis.'],"[{'label': 'Hearing aids – .', 'amount': 55.0}, {'label': 'Crut ches – .', 'amount': 900.0}, {'label': 'Club foot brace – .', 'amount': 1.0}, {'label': 'Walking frames – .', 'amount': 500.0}, {'label': 'The rape utic foot wear – .', 'amount': 1.0}]",55.0,[[]],"['Medical devices will only be issued to persons with per manent disabi lity recogn ized by the Nati onal Council for Persons with Disabi lity', 'One device per house hold per year, except for the rape utic foot wear, which has limit of two per house hold per year.', 'Hearing Aids are limited to individ uals aged 18 years and below and will only be issued once per life time.', 'Devices requ ired due to tempo rary inabi lity or immobi lity will be fact ored in the surg ical package.']",itemized,"➢ Hearing aids – KES. 55, 000 ➢ Crut ches – KES. 900 ➢ Club foot brace – KES. 1, 000 ➢ Walking frames – KES. 500 ➢ The rape utic foot wear – KES. 1, 000","➢ Medical devices will only be issued to persons with per manent disabi lity recogn ized by the Nati onal Council for Persons with Disabi lity ➢ One device per house hold per year, except for the rape utic foot wear, which has limit of two per house hold per year. ➢ Hearing Aids are limited to individ uals aged 18 years and below and will only be issued once per life time. ➢ Devices requ ired due to tempo rary inabi lity or immobi lity will be fact ored in the surg ical package."
