service_name,page_reference,evidence_snippet,pricing_kes,facility_level,full_context,extraction_method,extraction_confidence,is_free_service,source_type
➢ PPM: Case Based  ➢ Normal delivery - maximum stay of,2,➢ PPM: Case Based  ➢ Normal delivery - maximum stay of,,,"32,600     ➢ PPM: Case Based  ➢ Normal delivery - maximum stay of  48 hours   ➢ C-section - maximum stay of 72 hours  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ C-section - maximum stay of 72 hours,2,➢ C-section - maximum stay of 72 hours,,,➢ PPM: Case Based  ➢ Normal delivery - maximum stay of  48 hours   ➢ C-section - maximum stay of 72 hours   ➢ Pregnancy emergency medicines such  as Tranexamic acid and magnesium ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Pregnancy emergency medicines such,2,➢ Pregnancy emergency medicines such,,,48 hours   ➢ C-section - maximum stay of 72 hours   ➢ Pregnancy emergency medicines such  as Tranexamic acid and magnesium  sulphate are included.  ,enhanced_text_extraction,0.7,False,enhanced_text
➢ PHC maternity benefits will be,2,➢ PHC maternity benefits will be,,,as Tranexamic acid and magnesium  sulphate are included.   ➢ PHC maternity benefits will be  accessed by any Kenyan resident  woman or child who is pregnant.  ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Anti-D will only be provided to,2,➢ Anti-D will only be provided to,,,accessed by any Kenyan resident  woman or child who is pregnant.   ➢ Anti-D will only be provided to  Rhesus -negative mothers through  preauthorization.   ,enhanced_text_extraction,0.7,False,enhanced_text
➢ In case of peripartum and postnatal,2,➢ In case of peripartum and postnatal,,,Rhesus -negative mothers through  preauthorization.    ➢ In case of peripartum and postnatal  complications beyond 48 hours for  normal deliveries and 72 hours for CS ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Intra -admission and post -,3,➢ Intra -admission and post -,,,"deliveries, then per diem rate takes  --- PAGE 3 --- ➢ Intra -admission and post - discharge medication.   ➢ Diagnostic laboratory tests  ",enhanced_text_extraction,0.7,False,enhanced_text
discharge medication.,3,discharge medication.,,,--- PAGE 3 --- ➢ Intra -admission and post - discharge medication.   ➢ Diagnostic laboratory tests   ➢ Administration of blood and blood ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Diagnostic laboratory tests,3,➢ Diagnostic laboratory tests,,,➢ Intra -admission and post - discharge medication.   ➢ Diagnostic laboratory tests   ➢ Administration of blood and blood  products; derivatives and ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Administration of blood and blood,3,➢ Administration of blood and blood,,,"discharge medication.   ➢ Diagnostic laboratory tests   ➢ Administration of blood and blood  products; derivatives and  componen ts, artificial blood ",enhanced_text_extraction,0.7,False,enhanced_text
products; derivatives and,3,products; derivatives and,,,"➢ Diagnostic laboratory tests   ➢ Administration of blood and blood  products; derivatives and  componen ts, artificial blood  products, and biological serum  ",enhanced_text_extraction,0.7,False,enhanced_text
"componen ts, artificial blood",3,"componen ts, artificial blood",,,"➢ Administration of blood and blood  products; derivatives and  componen ts, artificial blood  products, and biological serum   ➢ Medical supplies and equipment, ",enhanced_text_extraction,0.7,False,enhanced_text
"products, and biological serum",3,"products, and biological serum",,,"products; derivatives and  componen ts, artificial blood  products, and biological serum   ➢ Medical supplies and equipment,  including oxygen.  ",enhanced_text_extraction,0.7,False,enhanced_text
"➢ Medical supplies and equipment,",3,"➢ Medical supplies and equipment,",,,"componen ts, artificial blood  products, and biological serum   ➢ Medical supplies and equipment,  including oxygen.   ➢ Postnatal family planning.  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Postnatal family planning.,3,➢ Postnatal family planning.,,,"➢ Medical supplies and equipment,  including oxygen.   ➢ Postnatal family planning.   ➢ Management of postpartum  infections and haemorrhage, birth ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Management of postpartum,3,➢ Management of postpartum,,,"including oxygen.   ➢ Postnatal family planning.   ➢ Management of postpartum  infections and haemorrhage, birth  traumas and conditions related to ",enhanced_text_extraction,0.7,False,enhanced_text
"infections and haemorrhage, birth",3,"infections and haemorrhage, birth",,,"➢ Postnatal family planning.   ➢ Management of postpartum  infections and haemorrhage, birth  traumas and conditions related to  childbirth.  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Management of neonatal,3,➢ Management of neonatal,,,traumas and conditions related to  childbirth.   ➢ Management of neonatal   conditions.   ➢ Obstetric and neonatal ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Obstetric and neonatal,3,➢ Obstetric and neonatal,,,➢ Management of neonatal   conditions.   ➢ Obstetric and neonatal  complications including intra - admission postpartum/postnatal ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Anti-D Serum for Rhesus -negative,3,➢ Anti-D Serum for Rhesus -negative,,,traumas and conditions related to  childbirth.   ➢ Anti-D Serum for Rhesus -negative  mothers.  effect. All claims in this category will  have to undergo surveillance.   ,enhanced_text_extraction,0.7,False,enhanced_text
mothers.  effect. All claims in this category will,3,mothers.  effect. All claims in this category will,,,childbirth.   ➢ Anti-D Serum for Rhesus -negative  mothers.  effect. All claims in this category will  have to undergo surveillance.    ➢ ANC and PNC services will be ,enhanced_text_extraction,0.7,False,enhanced_text
➢ ANC and PNC services will be,3,➢ ANC and PNC services will be,,,mothers.  effect. All claims in this category will  have to undergo surveillance.    ➢ ANC and PNC services will be  covered under the outpatient at the  PHC level.  ,enhanced_text_extraction,0.7,False,enhanced_text
covered under the outpatient at the,3,covered under the outpatient at the,,,have to undergo surveillance.    ➢ ANC and PNC services will be  covered under the outpatient at the  PHC level.   ➢ Management of complications for the ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Management of complications for the,3,➢ Management of complications for the,,,covered under the outpatient at the  PHC level.   ➢ Management of complications for the  newborn will be charged separately  from the mother including but not ,enhanced_text_extraction,0.7,False,enhanced_text
SCREENING & MANAGEMENT OF PRE -CANCEROUS LESIONS,3,SCREENING & MANAGEMENT OF PRE -CANCEROUS LESIONS,,,"services.     SCREENING & MANAGEMENT OF PRE -CANCEROUS LESIONS   Scope  Access Point  Tariff  Access Rules   Screening for commo n cancers (breast, ",enhanced_text_extraction,0.7,False,enhanced_text
"Screening for commo n cancers (breast,",3,"Screening for commo n cancers (breast,",,"[2, 6]","SCREENING & MANAGEMENT OF PRE -CANCEROUS LESIONS   Scope  Access Point  Tariff  Access Rules   Screening for commo n cancers (breast,  cervix, prostate, and colon)  Level 2 -6 with capacity  ➢ HPV – KES. 3,600   ➢ PSA – KES. 1,500  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Stool for occult blood –,3,➢ Stool for occult blood –,,"[2, 6]","cervix, prostate, and colon)  Level 2 -6 with capacity  ➢ HPV – KES. 3,600   ➢ PSA – KES. 1,500   ➢ Stool for occult blood –  KES. 400   ➢ Cryotherapy – KES. 3,000    ➢ Prostate cancer screening will only be ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Colon cancer screening will only be,3,➢ Colon cancer screening will only be,,,"➢ Cryotherapy – KES. 3,000    ➢ Prostate cancer screening will only be  covered in males over 55 years.   ➢ Colon cancer screening will only be  covered in males over 40 years.   --- PAGE 4 ---",enhanced_text_extraction,0.7,False,enhanced_text
➢ Thermal Ablation – KES.,4,➢ Thermal Ablation – KES.,,,"covered in males over 40 years.   --- PAGE 4 --- ➢ Thermal Ablation – KES.  3,000   ➢ LEEP – KES. 2,800  ➢ Screening for cervical cancer will only ",enhanced_text_extraction,0.7,False,enhanced_text
➢ HPV screening for females aged 35,4,➢ HPV screening for females aged 35,,,be covered in women between 30 -50  years   ➢ HPV screening for females aged 35  and 45 years.   OPTICAL HEALTH SERVICES  ,enhanced_text_extraction,0.7,False,enhanced_text
Services covered include consultation,4,Services covered include consultation,,,"OPTICAL HEALTH SERVICES   Scope Access Point  Tariff  Access Rules   Services covered include consultation  and diagnosis, preventive, restorative,  and trea tment services as necessary:  ",enhanced_text_extraction,0.7,False,enhanced_text
"and diagnosis, preventive, restorative,",4,"and diagnosis, preventive, restorative,",,,"Scope Access Point  Tariff  Access Rules   Services covered include consultation  and diagnosis, preventive, restorative,  and trea tment services as necessary:   ➢ Eye health education and ",enhanced_text_extraction,0.7,False,enhanced_text
and trea tment services as necessary:,4,and trea tment services as necessary:,,,"Services covered include consultation  and diagnosis, preventive, restorative,  and trea tment services as necessary:   ➢ Eye health education and  counselling.  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Eye health education and,4,➢ Eye health education and,,,"and diagnosis, preventive, restorative,  and trea tment services as necessary:   ➢ Eye health education and  counselling.   ➢ Eye tests including fundoscopy, ",enhanced_text_extraction,0.7,False,enhanced_text
counselling.,4,counselling.,,,"and trea tment services as necessary:   ➢ Eye health education and  counselling.   ➢ Eye tests including fundoscopy,  visual acuity testing, visual fiel d ",enhanced_text_extraction,0.7,False,enhanced_text
"➢ Eye tests including fundoscopy,",4,"➢ Eye tests including fundoscopy,",,,"➢ Eye health education and  counselling.   ➢ Eye tests including fundoscopy,  visual acuity testing, visual fiel d  analysis.  ",enhanced_text_extraction,0.7,False,enhanced_text
"visual acuity testing, visual fiel d",4,"visual acuity testing, visual fiel d",,,"counselling.   ➢ Eye tests including fundoscopy,  visual acuity testing, visual fiel d  analysis.   ➢ Treatment of refractive errors ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Treatment of refractive errors,4,➢ Treatment of refractive errors,,"[2, 3]","visual acuity testing, visual fiel d  analysis.   ➢ Treatment of refractive errors  through eyeglasses.  Level 2 -3 KES. 935 for Consultation and  dispensing of eyeglasses.  ",enhanced_text_extraction,0.7,False,enhanced_text
dispensing of eyeglasses.,4,dispensing of eyeglasses.,,"[2, 3]","➢ Treatment of refractive errors  through eyeglasses.  Level 2 -3 KES. 935 for Consultation and  dispensing of eyeglasses.    ➢ Limit: KES. 1,000 per Household   ➢ Pre-authorized service.  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Pre-authorized service.,4,➢ Pre-authorized service.,,,"dispensing of eyeglasses.    ➢ Limit: KES. 1,000 per Household   ➢ Pre-authorized service.   ➢ Limited to beneficiaries below 18  years.  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Limited to beneficiaries below 18,4,➢ Limited to beneficiaries below 18,,," ➢ Limit: KES. 1,000 per Household   ➢ Pre-authorized service.   ➢ Limited to beneficiaries below 18  years.   ➢ Replacement of eyeglasses onl y after ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Replacement of eyeglasses onl y after,4,➢ Replacement of eyeglasses onl y after,,,➢ Limited to beneficiaries below 18  years.   ➢ Replacement of eyeglasses onl y after  every two years if indicated.   END OF LIFE SERVICES  ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Preparation and storage of the,4,➢ Preparation and storage of the,,,END OF LIFE SERVICES   Scope  Access Point  Tariff  Access Rules   ➢ Preparation and storage of the  body in a mortuary   ➢ Preservation and storage of the ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Preservation and storage of the,4,➢ Preservation and storage of the,,,➢ Preparation and storage of the  body in a mortuary   ➢ Preservation and storage of the  body in a mortuary.  Where available  ➢ KES 500 per day   ➢ PPM: Per Diem  ,enhanced_text_extraction,0.7,False,enhanced_text
➢ PPM: Per Diem,4,➢ PPM: Per Diem,,,➢ Preservation and storage of the  body in a mortuary.  Where available  ➢ KES 500 per day   ➢ PPM: Per Diem    ➢ Limit up to 5 days   MEDICAL INPATIENT SERVICES  ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Limit up to 5 days,4,➢ Limit up to 5 days,,,body in a mortuary.  Where available  ➢ KES 500 per day   ➢ PPM: Per Diem    ➢ Limit up to 5 days   MEDICAL INPATIENT SERVICES   Scope  Access Point  Tariff  Access Rules  ,enhanced_text_extraction,0.7,False,enhanced_text
Inpatient services shall include,4,Inpatient services shall include,,,MEDICAL INPATIENT SERVICES   Scope  Access Point  Tariff  Access Rules   Inpatient services shall include  management of disease/condition  while admitted.  ,enhanced_text_extraction,0.7,False,enhanced_text
management of disease/condition,4,management of disease/condition,,,Scope  Access Point  Tariff  Access Rules   Inpatient services shall include  management of disease/condition  while admitted.   ➢ Pre-admission evaluation.  ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Pre-admission evaluation.,4,➢ Pre-admission evaluation.,,,"management of disease/condition  while admitted.   ➢ Pre-admission evaluation.   ➢ Hospital accommodation charges,  meals and nursing care in a ",enhanced_text_extraction,0.7,False,enhanced_text
"➢ Hospital accommodation charges,",4,"➢ Hospital accommodation charges,",,[3],"while admitted.   ➢ Pre-admission evaluation.   ➢ Hospital accommodation charges,  meals and nursing care in a  general  ward bed.  Level 3  PPM: Per -Diem  ",enhanced_text_extraction,0.7,False,enhanced_text
meals and nursing care in a,4,meals and nursing care in a,,[3],"➢ Pre-admission evaluation.   ➢ Hospital accommodation charges,  meals and nursing care in a  general  ward bed.  Level 3  PPM: Per -Diem   Level 3 - KES. 2,400  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Admission up to 50 days,4,➢ Admission up to 50 days,,[3],"general  ward bed.  Level 3  PPM: Per -Diem   Level 3 - KES. 2,400    ➢ Admission up to 50 days   --- PAGE 5 --- ➢ Intra -admission consultation and ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Intra -admission consultation and,5,➢ Intra -admission consultation and,,," ➢ Admission up to 50 days   --- PAGE 5 --- ➢ Intra -admission consultation and  reviews by both general and  specialist consultants, Laboratory ",enhanced_text_extraction,0.7,False,enhanced_text
"specialist consultants, Laboratory",5,"specialist consultants, Laboratory",,,"➢ Intra -admission consultation and  reviews by both general and  specialist consultants, Laboratory  investigations, medical imaging,  procedures, and medication.  ",enhanced_text_extraction,0.7,False,enhanced_text
"investigations, medical imaging,",5,"investigations, medical imaging,",,,"reviews by both general and  specialist consultants, Laboratory  investigations, medical imaging,  procedures, and medication.   ➢ Bedside services including ",enhanced_text_extraction,0.7,False,enhanced_text
"procedures, and medication.",5,"procedures, and medication.",,,"specialist consultants, Laboratory  investigations, medical imaging,  procedures, and medication.   ➢ Bedside services including  physiotherapy, occupational ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Bedside services including,5,➢ Bedside services including,,,"investigations, medical imaging,  procedures, and medication.   ➢ Bedside services including  physiotherapy, occupational  therapy, oxygen supply, medical ",enhanced_text_extraction,0.7,False,enhanced_text
"physiotherapy, occupational",5,"physiotherapy, occupational",,,"procedures, and medication.   ➢ Bedside services including  physiotherapy, occupational  therapy, oxygen supply, medical  consumables, and therapeutic ",enhanced_text_extraction,0.7,False,enhanced_text
"therapy, oxygen supply, medical",5,"therapy, oxygen supply, medical",,,"➢ Bedside services including  physiotherapy, occupational  therapy, oxygen supply, medical  consumables, and therapeutic  nutritional support.  ",enhanced_text_extraction,0.7,False,enhanced_text
nutritional support.,5,nutritional support.,,,"therapy, oxygen supply, medical  consumables, and therapeutic  nutritional support.   ➢ Cross -matching and  administration of blood and blood ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Cross -matching and,5,➢ Cross -matching and,,,"consumables, and therapeutic  nutritional support.   ➢ Cross -matching and  administration of blood and blood  products; derivatives and ",enhanced_text_extraction,0.7,False,enhanced_text
administration of blood and blood,5,administration of blood and blood,,,"nutritional support.   ➢ Cross -matching and  administration of blood and blood  products; derivatives and  components, artificial blood ",enhanced_text_extraction,0.7,False,enhanced_text
"components, artificial blood",5,"components, artificial blood",,,"administration of blood and blood  products; derivatives and  components, artificial blood  products, and biological serum.   ➢ Post-discharge medication or ",enhanced_text_extraction,0.7,False,enhanced_text
"products, and biological serum.",5,"products, and biological serum.",,,"products; derivatives and  components, artificial blood  products, and biological serum.   ➢ Post-discharge medication or  follow -up within the treatment ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Post-discharge medication or,5,➢ Post-discharge medication or,,,"components, artificial blood  products, and biological serum.   ➢ Post-discharge medication or  follow -up within the treatment  plan. ",enhanced_text_extraction,0.7,False,enhanced_text
follow -up within the treatment,5,follow -up within the treatment,,,"products, and biological serum.   ➢ Post-discharge medication or  follow -up within the treatment  plan.  SOCIAL HEALTH INSURANCE FUND  ",enhanced_text_extraction,0.7,False,enhanced_text
"➢ Consultation, dia gnosis, and",5,"➢ Consultation, dia gnosis, and",,,"counselling, and ongoing support as  needed   ➢ Consultation, dia gnosis, and  treatment.   ➢ Prescribed laboratory ",enhanced_text_extraction,0.7,False,enhanced_text
treatment.,5,treatment.,,,"needed   ➢ Consultation, dia gnosis, and  treatment.   ➢ Prescribed laboratory  investigations.  ",enhanced_text_extraction,0.7,False,enhanced_text
investigations.,5,investigations.,,,"treatment.   ➢ Prescribed laboratory  investigations.   ➢ Basic radiological examinations  including X -rays, ultrasounds.  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ PPM: Fee for Service –,5,➢ PPM: Fee for Service –,,"[4, 6]","➢ Prescription, drug administration  and dispensing  Level 4 -6 ➢ KES 2,000   ➢ PPM: Fee for Service –  Fixed Fee   ➢ ARVs, HIV testing and ",enhanced_text_extraction,0.7,False,enhanced_text
"testing, KEPI vacc ines, as",5,"testing, KEPI vacc ines, as",,,"malarial medication and  testing, anti TBs and  testing, KEPI vacc ines, as  provided in the guidelines, ➢ Limit: 4 Visits per year per person   ➢ ARVs, antimalarials, anti TBs, and ",enhanced_text_extraction,0.7,False,enhanced_text
"provided in the guidelines, ➢ Limit: 4 Visits per year per person",5,"provided in the guidelines, ➢ Limit: 4 Visits per year per person",,,"testing, anti TBs and  testing, KEPI vacc ines, as  provided in the guidelines, ➢ Limit: 4 Visits per year per person   ➢ ARVs, antimalarials, anti TBs, and  associated tests, family planning ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Management of acute and chronic,6,➢ Management of acute and chronic,,,to the health information system.   --- PAGE 6 --- ➢ Management of acute and chronic  conditions for endemic/local  cases  ,enhanced_text_extraction,0.7,False,enhanced_text
"➢ Management of N CDs, enteric",6,"➢ Management of N CDs, enteric",,,"conditions for endemic/local  cases   ➢ Management of N CDs, enteric  infections; neglected tropical  diseases (NTDs), STI ’s and ",enhanced_text_extraction,0.7,False,enhanced_text
infections; neglected tropical,6,infections; neglected tropical,,,"cases   ➢ Management of N CDs, enteric  infections; neglected tropical  diseases (NTDs), STI ’s and  HIV/AIDS  ",enhanced_text_extraction,0.7,False,enhanced_text
special vaccines,6,special vaccines,,,"➢ Immunization as per the KEPI  schedule and recommended  special vaccines   ➢ Reproductive, Mat ernal and Child  Health Services as defined by the ",enhanced_text_extraction,0.7,False,enhanced_text
"➢ Reproductive, Mat ernal and Child",6,"➢ Reproductive, Mat ernal and Child",,,"schedule and recommended  special vaccines   ➢ Reproductive, Mat ernal and Child  Health Services as defined by the  MOH guidelines  will be offered at no cost to ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Pre-admission evaluation,6,➢ Pre-admission evaluation,,,"management of disease/condition  while admitted.   ➢ Pre-admission evaluation   ➢ Hospital accommodation charges,  meals and nursing care in a general ",enhanced_text_extraction,0.7,False,enhanced_text
meals and nursing care in a general,6,meals and nursing care in a general,,,"➢ Pre-admission evaluation   ➢ Hospital accommodation charges,  meals and nursing care in a general  ward bed   ➢ Intra -admission consultation and ",enhanced_text_extraction,0.7,False,enhanced_text
➢  PPM: Per Diem,6,➢  PPM: Per Diem,,"[5, 6]","➢ Level 5 – KES 4,000   ➢ Level 6 – KES 5,000   ➢  PPM: Per Diem    ➢ Limit: Up to 50 days per Household   ➢ Days above that charged to ECCIF  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Limit: Up to 50 days per Household,6,➢ Limit: Up to 50 days per Household,,[6],"➢ Level 6 – KES 5,000   ➢  PPM: Per Diem    ➢ Limit: Up to 50 days per Household   ➢ Days above that charged to ECCIF   --- PAGE 7 ---",enhanced_text_extraction,0.7,False,enhanced_text
➢ Days above that charged to ECCIF,6,➢ Days above that charged to ECCIF,,,➢  PPM: Per Diem    ➢ Limit: Up to 50 days per Household   ➢ Days above that charged to ECCIF   --- PAGE 7 --- ➢ Bedside services includin g ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Bedside services includin g,7,➢ Bedside services includin g,,,"➢ Days above that charged to ECCIF   --- PAGE 7 --- ➢ Bedside services includin g  physiotherapy, occupational  therapy, oxygen supply, medical ",enhanced_text_extraction,0.7,False,enhanced_text
"MATERNITY, NEONATAL AND CHILD HEALTH S ERVICES",7,"MATERNITY, NEONATAL AND CHILD HEALTH S ERVICES",,,"follow -up within the treatment  plan.   MATERNITY, NEONATAL AND CHILD HEALTH S ERVICES   Scope  Access Point  Tariff  Access Rules   Delivery by ways of normal delivery, ",enhanced_text_extraction,0.7,False,enhanced_text
"Delivery by ways of normal delivery,",7,"Delivery by ways of normal delivery,",,,"MATERNITY, NEONATAL AND CHILD HEALTH S ERVICES   Scope  Access Point  Tariff  Access Rules   Delivery by ways of normal delivery,  assisted delivery and caesarean section  as necessitated.  ",enhanced_text_extraction,0.7,False,enhanced_text
assisted delivery and caesarean section,7,assisted delivery and caesarean section,,,"Scope  Access Point  Tariff  Access Rules   Delivery by ways of normal delivery,  assisted delivery and caesarean section  as necessitated.   ➢ Aftercare for the mother together ",enhanced_text_extraction,0.7,False,enhanced_text
"➢ Operat ing, recovery, maternity",7,"➢ Operat ing, recovery, maternity",,,"➢ Midwifery, including episiotomy  care and nursing care.   ➢ Operat ing, recovery, maternity  ward and other treatment room  charges including meals and ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Immunization for the newborn.,7,➢ Immunization for the newborn.,,,charges including meals and  special diets.   ➢ Immunization for the newborn.   ➢ Intra -admission and post - discharge medication.  ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Diagnostic laboratory tests.,7,➢ Diagnostic laboratory tests.,,"[4, 6]",➢ Intra -admission and post - discharge medication.   ➢ Diagnostic laboratory tests.   ➢ Administration of blood and  blood products; derivati ves and Level 4 -6 ➢ Normal Delivery and ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Administration of blood and,7,➢ Administration of blood and,,"[4, 6]",discharge medication.   ➢ Diagnostic laboratory tests.   ➢ Administration of blood and  blood products; derivati ves and Level 4 -6 ➢ Normal Delivery and  essential newborn care – ,enhanced_text_extraction,0.7,False,enhanced_text
blood products; derivati ves and Level 4 -6 ➢ Normal Delivery and,7,blood products; derivati ves and Level 4 -6 ➢ Normal Delivery and,,"[4, 6]","➢ Diagnostic laboratory tests.   ➢ Administration of blood and  blood products; derivati ves and Level 4 -6 ➢ Normal Delivery and  essential newborn care –  KES. 11, 200 ",enhanced_text_extraction,0.7,False,enhanced_text
essential newborn care –,7,essential newborn care –,,"[4, 6]","➢ Administration of blood and  blood products; derivati ves and Level 4 -6 ➢ Normal Delivery and  essential newborn care –  KES. 11, 200  ➢ Caesarean Section and ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Caesarean Section and,7,➢ Caesarean Section and,,,"essential newborn care –  KES. 11, 200  ➢ Caesarean Section and  essential newborn care –  KES. 32,600  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ C-section - maximum stay of 72,7,➢ C-section - maximum stay of 72,,,➢ PPM: Case Based  ➢ Normal delivery - maximum stay of  48 hours   ➢ C-section - maximum stay of 72  hours (including pregnancy  emergencies such as Tranexamic acid ,enhanced_text_extraction,0.7,False,enhanced_text
➢ SHIF maternity services will be,7,➢ SHIF maternity services will be,,,emergencies such as Tranexamic acid  and magnesium sulphate)   ➢ SHIF maternity services will be  accessed by members and their  dependants with up -to-date ,enhanced_text_extraction,0.7,False,enhanced_text
effect. All claims in thi s category will,7,effect. All claims in thi s category will,,,"normal deliveries and 72 hours for CS  deliveries, then per diem rate takes  effect. All claims in thi s category will  have to undergo surveillance.     ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Manag ement of neonatal,8,➢ Manag ement of neonatal,,,traumas and conditions related to  childbirth.   ➢ Manag ement of neonatal  conditions.   ➢ Obstetric and neonatal ,enhanced_text_extraction,0.7,False,enhanced_text
The management of kidney failure due,8,The management of kidney failure due,,,RENAL CARE PACKAGE   Scope  Access Point  Tariff  Access Rules   The management of kidney failure due  to chronic disease or acute  injuries/diseases through dialysis ,enhanced_text_extraction,0.7,False,enhanced_text
to chronic disease or acute,8,to chronic disease or acute,,,Scope  Access Point  Tariff  Access Rules   The management of kidney failure due  to chronic disease or acute  injuries/diseases through dialysis  including:  ,enhanced_text_extraction,0.7,False,enhanced_text
injuries/diseases through dialysis,8,injuries/diseases through dialysis,,,The management of kidney failure due  to chronic disease or acute  injuries/diseases through dialysis  including:   ➢ Consultation and specialist's ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Consultation and specialist's,8,➢ Consultation and specialist's,,,injuries/diseases through dialysis  including:   ➢ Consultation and specialist's  review.   ➢ Cost of the temporary catheter ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Cost of the temporary catheter,8,➢ Cost of the temporary catheter,,,➢ Consultation and specialist's  review.   ➢ Cost of the temporary catheter  and insertion/removal.   ➢ Nursing care and dialysis services.  ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Nursing care and dialysis services.,8,➢ Nursing care and dialysis services.,,,➢ Cost of the temporary catheter  and insertion/removal.   ➢ Nursing care and dialysis services.   ➢ Routine laboratory investigations.   ➢ Dispensation of medication and ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Routine laboratory investigations.,8,➢ Routine laboratory investigations.,,,"and insertion/removal.   ➢ Nursing care and dialysis services.   ➢ Routine laboratory investigations.   ➢ Dispensation of medication and  maintenance drug, counselling ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Dispensation of medication and,8,➢ Dispensation of medication and,,"[4, 6]","➢ Nursing care and dialysis services.   ➢ Routine laboratory investigations.   ➢ Dispensation of medication and  maintenance drug, counselling  and follow -up.  Level 4 -6 ➢ Hemodialysis & ",enhanced_text_extraction,0.7,False,enhanced_text
"maintenance drug, counselling",8,"maintenance drug, counselling",,"[4, 6]","➢ Routine laboratory investigations.   ➢ Dispensation of medication and  maintenance drug, counselling  and follow -up.  Level 4 -6 ➢ Hemodialysis &  Hemodiafiltration KES. ",enhanced_text_extraction,0.7,False,enhanced_text
and follow -up.  Level 4 -6 ➢ Hemodialysis &,8,and follow -up.  Level 4 -6 ➢ Hemodialysis &,,"[4, 6]","➢ Dispensation of medication and  maintenance drug, counselling  and follow -up.  Level 4 -6 ➢ Hemodialysis &  Hemodiafiltration KES.  10,650 per session  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Peritoneal dialysis – KES.,8,➢ Peritoneal dialysis – KES.,,,"Hemodiafiltration KES.  10,650 per session   ➢ Peritoneal dialysis – KES.  180,000 per month   ➢ PPM: Case Based  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ PPM: Case Based,8,➢ PPM: Case Based,,,"➢ Peritoneal dialysis – KES.  180,000 per month   ➢ PPM: Case Based    ➢ Maximum of 3 sessions per week for  haemodialysis.  ",enhanced_text_extraction,0.7,False,enhanced_text
➢ Maximum of 3 sessions per week for,8,➢ Maximum of 3 sessions per week for,,,"180,000 per month   ➢ PPM: Case Based    ➢ Maximum of 3 sessions per week for  haemodialysis.   ➢ Maximum of 2 sessions per week for ",enhanced_text_extraction,0.7,False,enhanced_text
haemodialysis.,8,haemodialysis.,,,➢ PPM: Case Based    ➢ Maximum of 3 sessions per week for  haemodialysis.   ➢ Maximum of 2 sessions per week for  hemodiafiltration.  ,enhanced_text_extraction,0.7,False,enhanced_text
➢ Maximum of 2 sessions per week for,8,➢ Maximum of 2 sessions per week for,,, ➢ Maximum of 3 sessions per week for  haemodialysis.   ➢ Maximum of 2 sessions per week for  hemodiafiltration.   ➢ Maximum of 12 sessions annually for ,enhanced_text_extraction,0.7,False,enhanced_text
