fund,service,scope_item,access_point,item_label,item_tariff,block_tariff,item_rules,block_rules,mapping_type
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Consultation and special ist's review.,Level 4 - 6,,,10.0,[],"['Maximum of 3 sessions per week for haemo dialysis.', 'Maximum of 2 sessions per week for hemodiafiltration.', 'Maximum of 12 sessions annually for per ito neal dialysis.', 'Payments will be made from the SHIF and ECCIF Funds.']",itemized
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Cost ofthe temp ora ryca the ter and insertion / removal.,Level 4 - 6,,,10.0,[],"['Maximum of 3 sessions per week for haemo dialysis.', 'Maximum of 2 sessions per week for hemodiafiltration.', 'Maximum of 12 sessions annually for per ito neal dialysis.', 'Payments will be made from the SHIF and ECCIF Funds.']",itemized
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Nursing care and dialysis services.,Level 4 - 6,Hemo dialysis & Hemodiafiltration .,10.0,10.0,['Access iblein Level IV-VI facilities with dialysis centres and access to an ambulance and ICU services within 10 km radius.'],"['Maximum of 3 sessions per week for haemo dialysis.', 'Maximum of 2 sessions per week for hemodiafiltration.', 'Maximum of 12 sessions annually for per ito neal dialysis.', 'Payments will be made from the SHIF and ECCIF Funds.']",itemized
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Routine laboratory investigations.,Level 4 - 6,,,10.0,[],"['Maximum of 3 sessions per week for haemo dialysis.', 'Maximum of 2 sessions per week for hemodiafiltration.', 'Maximum of 12 sessions annually for per ito neal dialysis.', 'Payments will be made from the SHIF and ECCIF Funds.']",itemized
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,"Dis pen sat ionof medication and main ten ance drug, counselling and follow - up.",Level 4 - 6,,,10.0,[],"['Maximum of 3 sessions per week for haemo dialysis.', 'Maximum of 2 sessions per week for hemodiafiltration.', 'Maximum of 12 sessions annually for per ito neal dialysis.', 'Payments will be made from the SHIF and ECCIF Funds.']",itemized
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Continuous inter mittent dialysis and other dialysis protocols.,Level 4 - 6,,,10.0,[],"['Maximum of 3 sessions per week for haemo dialysis.', 'Maximum of 2 sessions per week for hemodiafiltration.', 'Maximum of 12 sessions annually for per ito neal dialysis.', 'Payments will be made from the SHIF and ECCIF Funds.']",itemized
SOCIAL HEALTH INSURANCE FUND,MENTAL WELLLNESS BENEFIT PACKAGE,The mental health services cover caters for;,Level 3 - 6,,,1.0,['Mental illness services will be assessed through the SHIF and ECCI funds.'],"['Max. 7 out patient visits', 'Toac cess the benefits, individuals must be paid-up SHA members', 'Diagnosis and man age mentof behavioral disorders ( inpatient ) shall have limit of up to 35 days.', 'For beneficiaries whodo not complete the three - st age program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to maximum of 10 days.']",itemized
SOCIAL HEALTH INSURANCE FUND,MENTAL WELLLNESS BENEFIT PACKAGE,Mental Health education and counselling.,Level 3 - 6,,,1.0,[],"['Max. 7 out patient visits', 'Toac cess the benefits, individuals must be paid-up SHA members', 'Diagnosis and man age mentof behavioral disorders ( inpatient ) shall have limit of up to 35 days.', 'For beneficiaries whodo not complete the three - st age program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to maximum of 10 days.']",itemized
SOCIAL HEALTH INSURANCE FUND,MENTAL WELLLNESS BENEFIT PACKAGE,"Screening, management and referral for behavioral disorders, neuro- develop mental disorders, affective and psycho act ive disorders.",Level 3 - 6,,,1.0,[],"['Max. 7 out patient visits', 'Toac cess the benefits, individuals must be paid-up SHA members', 'Diagnosis and man age mentof behavioral disorders ( inpatient ) shall have limit of up to 35 days.', 'For beneficiaries whodo not complete the three - st age program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to maximum of 10 days.']",itemized
SOCIAL HEALTH INSURANCE FUND,MENTAL WELLLNESS BENEFIT PACKAGE,Rehabilitation for substance related addictive disorders.,Level 3 - 6,Rehabilitation – .,125.0,1.0,['Adm iss ions for rehabilitation for drugs and substance abuse shall be pre- authorized.'],"['Max. 7 out patient visits', 'Toac cess the benefits, individuals must be paid-up SHA members', 'Diagnosis and man age mentof behavioral disorders ( inpatient ) shall have limit of up to 35 days.', 'For beneficiaries whodo not complete the three - st age program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to maximum of 10 days.']",itemized
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,The Surgical Package covers the below list of surgical and non- surgical procedures:,"➢ Level 3 - 6 ➢ Select ive procurement for Cardiology, Cardiothoracic and vascular, Urology, and Transplant surgeries",,,,[],"['Minor surgical procedures per for med at Level 2 & 3 facilities will be funded from the PHC fund.', 'Emergency surgical pro ceduresto stab ilize trauma and poly trauma patients with head, cardiac, pulmonary, and critical limb injuries within 24 hours will be covered under']",block
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,Pre- operative admission and care.,"➢ Level 3 - 6 ➢ Select ive procurement for Cardiology, Cardiothoracic and vascular, Urology, and Transplant surgeries",,,,[],"['Minor surgical procedures per for med at Level 2 & 3 facilities will be funded from the PHC fund.', 'Emergency surgical pro ceduresto stab ilize trauma and poly trauma patients with head, cardiac, pulmonary, and critical limb injuries within 24 hours will be covered under']",block
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,"Minor, major and special ized surgical procedures including organ transplants and implants.","➢ Level 3 - 6 ➢ Select ive procurement for Cardiology, Cardiothoracic and vascular, Urology, and Transplant surgeries",,,,[],"['Minor surgical procedures per for med at Level 2 & 3 facilities will be funded from the PHC fund.', 'Emergency surgical pro ceduresto stab ilize trauma and poly trauma patients with head, cardiac, pulmonary, and critical limb injuries within 24 hours will be covered under']",block
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,Administration of blood and blood products; derivatives and,"➢ Level 3 - 6 ➢ Select ive procurement for Cardiology, Cardiothoracic and vascular, Urology, and Transplant surgeries",,,,[],"['Minor surgical procedures per for med at Level 2 & 3 facilities will be funded from the PHC fund.', 'Emergency surgical pro ceduresto stab ilize trauma and poly trauma patients with head, cardiac, pulmonary, and critical limb injuries within 24 hours will be covered under']",block
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,"components, artificial blood products, and biological serum.","the Accident and Emergency Package in the ECCIF fund. ➢ Palliative surgery shall be paid under ECCIF. ➢ Major and special ized surgical procedures will be provided at Level 4 - 6 facilities with at least 2 operating the atres. ➢ Procurement of eligible minor, major and special ized procedures from single specialty providers. ➢ Access to specific major and special ized procedures will be limited to facilities with appropriate installed equipment, affiliated surgical and anes the sia per son nel. ➢ Co-payment allowed for laser and laparoscopic surgeries.",,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,Management of int rao per ative complications and complications follow ing the surgical procedure.,"the Accident and Emergency Package in the ECCIF fund. ➢ Palliative surgery shall be paid under ECCIF. ➢ Major and special ized surgical procedures will be provided at Level 4 - 6 facilities with at least 2 operating the atres. ➢ Procurement of eligible minor, major and special ized procedures from single specialty providers. ➢ Access to specific major and special ized procedures will be limited to facilities with appropriate installed equipment, affiliated surgical and anes the sia per son nel. ➢ Co-payment allowed for laser and laparoscopic surgeries.",,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,All additional medical or surgical service required during the post operative period because of complications that do not require additional trips to the operating room.,"the Accident and Emergency Package in the ECCIF fund. ➢ Palliative surgery shall be paid under ECCIF. ➢ Major and special ized surgical procedures will be provided at Level 4 - 6 facilities with at least 2 operating the atres. ➢ Procurement of eligible minor, major and special ized procedures from single specialty providers. ➢ Access to specific major and special ized procedures will be limited to facilities with appropriate installed equipment, affiliated surgical and anes the sia per son nel. ➢ Co-payment allowed for laser and laparoscopic surgeries.",,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,Post operative visits - follow - up visits during the post operative period that are related to recovery.,"the Accident and Emergency Package in the ECCIF fund. ➢ Palliative surgery shall be paid under ECCIF. ➢ Major and special ized surgical procedures will be provided at Level 4 - 6 facilities with at least 2 operating the atres. ➢ Procurement of eligible minor, major and special ized procedures from single specialty providers. ➢ Access to specific major and special ized procedures will be limited to facilities with appropriate installed equipment, affiliated surgical and anes the sia per son nel. ➢ Co-payment allowed for laser and laparoscopic surgeries.",,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,Post - pro cedure pain management.,"the Accident and Emergency Package in the ECCIF fund. ➢ Palliative surgery shall be paid under ECCIF. ➢ Major and special ized surgical procedures will be provided at Level 4 - 6 facilities with at least 2 operating the atres. ➢ Procurement of eligible minor, major and special ized procedures from single specialty providers. ➢ Access to specific major and special ized procedures will be limited to facilities with appropriate installed equipment, affiliated surgical and anes the sia per son nel. ➢ Co-payment allowed for laser and laparoscopic surgeries.",,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,Post - op era tive ward physio the rapy.,"the Accident and Emergency Package in the ECCIF fund. ➢ Palliative surgery shall be paid under ECCIF. ➢ Major and special ized surgical procedures will be provided at Level 4 - 6 facilities with at least 2 operating the atres. ➢ Procurement of eligible minor, major and special ized procedures from single specialty providers. ➢ Access to specific major and special ized procedures will be limited to facilities with appropriate installed equipment, affiliated surgical and anes the sia per son nel. ➢ Co-payment allowed for laser and laparoscopic surgeries.",,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,Supplies - except for those identified as exclusions.,"the Accident and Emergency Package in the ECCIF fund. ➢ Palliative surgery shall be paid under ECCIF. ➢ Major and special ized surgical procedures will be provided at Level 4 - 6 facilities with at least 2 operating the atres. ➢ Procurement of eligible minor, major and special ized procedures from single specialty providers. ➢ Access to specific major and special ized procedures will be limited to facilities with appropriate installed equipment, affiliated surgical and anes the sia per son nel. ➢ Co-payment allowed for laser and laparoscopic surgeries.",,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,"Mis cell aneous services - items such as dressing changes; local incisional care; removal of the operative pack; removal of cutaneous sutures and staples, lines, wires, tubes, drains, casts, and splints; insertion, irrigation and removal of urinary catheters, routine per ipheral intravenous lines, nasogastric and rectal tubes; and changes and removal of tracheostomy tubes.","the Accident and Emergency Package in the ECCIF fund. ➢ Palliative surgery shall be paid under ECCIF. ➢ Major and special ized surgical procedures will be provided at Level 4 - 6 facilities with at least 2 operating the atres. ➢ Procurement of eligible minor, major and special ized procedures from single specialty providers. ➢ Access to specific major and special ized procedures will be limited to facilities with appropriate installed equipment, affiliated surgical and anes the sia per son nel. ➢ Co-payment allowed for laser and laparoscopic surgeries.",,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,Critical care services related to the surgical procedure but within the same case definition.,"the Accident and Emergency Package in the ECCIF fund. ➢ Palliative surgery shall be paid under ECCIF. ➢ Major and special ized surgical procedures will be provided at Level 4 - 6 facilities with at least 2 operating the atres. ➢ Procurement of eligible minor, major and special ized procedures from single specialty providers. ➢ Access to specific major and special ized procedures will be limited to facilities with appropriate installed equipment, affiliated surgical and anes the sia per son nel. ➢ Co-payment allowed for laser and laparoscopic surgeries.",,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,"Diagnostic tests and procedure, including diagnostic radiological procedures related to the surgery.","the Accident and Emergency Package in the ECCIF fund. ➢ Palliative surgery shall be paid under ECCIF. ➢ Major and special ized surgical procedures will be provided at Level 4 - 6 facilities with at least 2 operating the atres. ➢ Procurement of eligible minor, major and special ized procedures from single specialty providers. ➢ Access to specific major and special ized procedures will be limited to facilities with appropriate installed equipment, affiliated surgical and anes the sia per son nel. ➢ Co-payment allowed for laser and laparoscopic surgeries.",,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,Immunosuppressive therapy for organ transplants.,"the Accident and Emergency Package in the ECCIF fund. ➢ Palliative surgery shall be paid under ECCIF. ➢ Major and special ized surgical procedures will be provided at Level 4 - 6 facilities with at least 2 operating the atres. ➢ Procurement of eligible minor, major and special ized procedures from single specialty providers. ➢ Access to specific major and special ized procedures will be limited to facilities with appropriate installed equipment, affiliated surgical and anes the sia per son nel. ➢ Co-payment allowed for laser and laparoscopic surgeries.",,,,[],[],block
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,"Oncology services shall entail screening and treatment ofc anc ers including breast, pro state, colo rectal, cervical cancer, and child hood cancers.",Level 4 - 6,,,5.0,[],"['Diagnosis & staging - Limit of KES. 100, 000', '1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF', '2 nd Line treatment – KES. 650, 000 from ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,"Administration of Chemo the rapy, Radio the rapy, Brachy the rapy and Radio surgery",Level 4 - 6,Chemo administration – .,5.0,5.0,[],"['Diagnosis & staging - Limit of KES. 100, 000', '1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF', '2 nd Line treatment – KES. 650, 000 from ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,"Consumables, stoma appliances, premeds, and post meds",Level 4 - 6,,,5.0,[],"['Diagnosis & staging - Limit of KES. 100, 000', '1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF', '2 nd Line treatment – KES. 650, 000 from ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Chemo the rapy pump,Level 4 - 6,Brachy the rapy – up to .,40.0,5.0,[],"['Diagnosis & staging - Limit of KES. 100, 000', '1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF', '2 nd Line treatment – KES. 650, 000 from ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Routine and special ized laboratory investigations,Level 4 - 6,,,5.0,[],"['Diagnosis & staging - Limit of KES. 100, 000', '1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF', '2 nd Line treatment – KES. 650, 000 from ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,"Screening, cross- match ing and administration of blood and blood products; derivatives and components, artificial blood products, and biological serum",Level 4 - 6,,,5.0,[],"['Diagnosis & staging - Limit of KES. 100, 000', '1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF', '2 nd Line treatment – KES. 650, 000 from ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Treatment plan ning,Level 4 - 6,,,5.0,[],"['Diagnosis & staging - Limit of KES. 100, 000', '1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF', '2 nd Line treatment – KES. 650, 000 from ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Radioiodine therapy,Level 4 - 6,,,5.0,[],"['Diagnosis & staging - Limit of KES. 100, 000', '1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF', '2 nd Line treatment – KES. 650, 000 from ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Radiological services where necessary as part of oncological treatment plan ning,Level 4 - 6,,,5.0,[],"['Diagnosis & staging - Limit of KES. 100, 000', '1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF', '2 nd Line treatment – KES. 650, 000 from ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Management through surgical interventions,Level 4 - 6,,,5.0,[],"['Diagnosis & staging - Limit of KES. 100, 000', '1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF', '2 nd Line treatment – KES. 650, 000 from ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Management of pre- cancer conditions,Level 4 - 6,,,5.0,[],"['Diagnosis & staging - Limit of KES. 100, 000', '1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF', '2 nd Line treatment – KES. 650, 000 from ECCIF']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,Covers Pre scri bed special ized imaging services including.,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",Special ized ultrasounds ( Dopplers ) –,5.0,11.0,[],"['MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).', 'Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.', 'Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,MRI,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",MRI –,11.0,11.0,[],"['MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).', 'Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.', 'Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,CT scans,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",CT scans –,9.0,11.0,['CT scans and CT Angio – 2 images per household.'],"['MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).', 'Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.', 'Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,CT Angio,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",CT Angio –,8.0,11.0,[],"['MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).', 'Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.', 'Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,Fluoroscopy,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",Fluoroscopy –,4.0,11.0,[],"['MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).', 'Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.', 'Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,Mammography,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",Mammography –,3.0,11.0,[],"['MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).', 'Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.', 'Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,Special ized ultrasounds ( Dopplers ),"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",,,11.0,[],"['MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).', 'Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.', 'Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,Echo car diog rams ( ECHO ),"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",Echo car diog rams ( ECHO ) –,3.0,11.0,[],"['MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).', 'Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.', 'Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,Electroencephalograms ( EEGs ) and,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",Electroencephalograms ( EEGs ) –,5.0,11.0,[],"['MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).', 'Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.', 'Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,Review ing and inter pre ting radiological images giving the diagnostic opinion and pro vid ing the refer ring physic ian witha detail edreportof the imaging findings for treatment plan ning.,"➢ All facilities with required imaging services. ➢ Fluoroscopy, Mammography, Echo car diog rams, Electroencephalograms ( EEG ), and special ized ultrasounds ( dopplers ) to be purchased from GOK Level IV-V hospitals.",,,11.0,[],"['MRI at 2 images per HH - limited to Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'CTsc ans- limit edto Infective, oncology, neurological, degenerative conditions, specific obste tric conditions, cardiac / CVA- related cases and trauma cases.', 'Fluoroscopyat 2 per household: Continuous x-rays used for guiding angio graphic and inter vent ional procedures, in contrast, examinations of the GI tract, and in the OR for certain surgical procedures (.. orthopedic, Urological ).', 'Mammographyat 2 per household per year: X-ray imaging of the breasts for diagnosis of clinically detected or screening - de tec ted abnormalities.', 'Special ized ultra sound sat 2 per household per year: For tendon injuries (.. rotatorcuff, Achilles tendon ), detect ion and characterization of soft tissue masses']",itemized
SOCIAL HEALTH INSURANCE FUND,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,,,,,,[],"['(.. cysticorsolid ), detectionof for eign bodies, / S-guidedbiopsy and injections, Bone / joint evaluation pre- ossifi cat ion (.. DDHinearly months ), doppler for venous and art erial diseases, scro tal masses, priapism, and testicular torsion.', 'ECHO at 2 per household per year: Car otids ten osis, Pulmonary embolism, Kawa saki disease, Hypertension in child ren, Congestive heart failure, Congenital heart disease, Spina bifida, Acute Ischemic stroke, Infective end ocardi tis, Hodgkin ’ lymphoma, Sickle cell disease, Acute per icardi tis, Valvular heart disease.', 'Radiology benefits are tobe purchased where the ser viceis avail able and on need basis.', 'All radiology services are to be pre- authorized.']",block
