fund,service,access_point,mapping_type,scope_item,item_label,item_tariff,block_tariff,item_rules,block_rules,tariff_raw,access_rules_raw
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4 - 6,itemized,"Admin ist rat ionof blood and blood products; derivatives and components, artificial blood products, and biological serum.",,,11.0,,"C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ); SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care – KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ) ➢ SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4 - 6,itemized,"Medical supplies and equipment, including oxygen.",,,11.0,,"C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ); SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care – KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ) ➢ SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4 - 6,itemized,Post natal family plan ning.,,,11.0,,"C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ); SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care – KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ) ➢ SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4 - 6,itemized,"Man age mentof post partum infections and haemorrhage, birth traumas and conditions related to child birth.",,,11.0,,"C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ); SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care – KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ) ➢ SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4 - 6,itemized,Man age mentof neonatal conditions.,,,11.0,,"C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ); SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care – KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ) ➢ SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4 - 6,itemized,"Obste tric and neonatal complications including int ra- admission post par tum / post natal infections and haemorrhage, birth traumas and conditions related to child birth.",,,11.0,,"C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ); SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship.; In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care – KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-secti on- maximum stayof 72 hours ( including pregnancy emergencies such as Tranexamic acid and magnesium sulphate ) ➢ SHIF maternity service swillbe access edby members and their depend ants with up-to- date member ship. ➢ In case of per ipa rtum and post natal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Level 4 - 6,itemized,The management of kidney failure due tochro nic disease ora cute injuries / diseases through dialysis including:,,,10.0,,Maximum of 3 sessions per week for haemo dialysis.; Maximum of 2 sessions per week for hemodiafiltration.; Maximum of 12 sessions annually for per ito neal dialysis.; Payments will be made from the SHIF and ECCIF Funds.,"➢ Hemo dialysis & Hemodiafiltration KES. 10, 650 per session ➢ Per ito neal dialysis – KES. 180, 000 per month ➢ PPM: Case Based",➢ Maximum of 3 sessions per week for haemo dialysis. ➢ Maximum of 2 sessions per week for hemodiafiltration. ➢ Maximum of 12 sessions annually for per ito neal dialysis. ➢ Payments will be made from the SHIF and ECCIF Funds. ➢ Access iblein Level IV-VI facilities with dialysis centres and access to an ambulance and ICU services within 10 km radius.
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Level 4 - 6,itemized,Consultation and special ist's review.,,,10.0,,Maximum of 3 sessions per week for haemo dialysis.; Maximum of 2 sessions per week for hemodiafiltration.; Maximum of 12 sessions annually for per ito neal dialysis.; Payments will be made from the SHIF and ECCIF Funds.,"➢ Hemo dialysis & Hemodiafiltration KES. 10, 650 per session ➢ Per ito neal dialysis – KES. 180, 000 per month ➢ PPM: Case Based",➢ Maximum of 3 sessions per week for haemo dialysis. ➢ Maximum of 2 sessions per week for hemodiafiltration. ➢ Maximum of 12 sessions annually for per ito neal dialysis. ➢ Payments will be made from the SHIF and ECCIF Funds. ➢ Access iblein Level IV-VI facilities with dialysis centres and access to an ambulance and ICU services within 10 km radius.
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Level 4 - 6,itemized,Cost ofthe temp ora ryca the ter and insertion / removal.,,,10.0,,Maximum of 3 sessions per week for haemo dialysis.; Maximum of 2 sessions per week for hemodiafiltration.; Maximum of 12 sessions annually for per ito neal dialysis.; Payments will be made from the SHIF and ECCIF Funds.,"➢ Hemo dialysis & Hemodiafiltration KES. 10, 650 per session ➢ Per ito neal dialysis – KES. 180, 000 per month ➢ PPM: Case Based",➢ Maximum of 3 sessions per week for haemo dialysis. ➢ Maximum of 2 sessions per week for hemodiafiltration. ➢ Maximum of 12 sessions annually for per ito neal dialysis. ➢ Payments will be made from the SHIF and ECCIF Funds. ➢ Access iblein Level IV-VI facilities with dialysis centres and access to an ambulance and ICU services within 10 km radius.
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Level 4 - 6,itemized,Nursing care and dialysis services.,Hemo dialysis & Hemodiafiltration .,10.0,10.0,Access iblein Level IV-VI facilities with dialysis centres and access to an ambulance and ICU services within 10 km radius.,Maximum of 3 sessions per week for haemo dialysis.; Maximum of 2 sessions per week for hemodiafiltration.; Maximum of 12 sessions annually for per ito neal dialysis.; Payments will be made from the SHIF and ECCIF Funds.,"➢ Hemo dialysis & Hemodiafiltration KES. 10, 650 per session ➢ Per ito neal dialysis – KES. 180, 000 per month ➢ PPM: Case Based",➢ Maximum of 3 sessions per week for haemo dialysis. ➢ Maximum of 2 sessions per week for hemodiafiltration. ➢ Maximum of 12 sessions annually for per ito neal dialysis. ➢ Payments will be made from the SHIF and ECCIF Funds. ➢ Access iblein Level IV-VI facilities with dialysis centres and access to an ambulance and ICU services within 10 km radius.
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Level 4 - 6,itemized,Routine laboratory investigations.,,,10.0,,Maximum of 3 sessions per week for haemo dialysis.; Maximum of 2 sessions per week for hemodiafiltration.; Maximum of 12 sessions annually for per ito neal dialysis.; Payments will be made from the SHIF and ECCIF Funds.,"➢ Hemo dialysis & Hemodiafiltration KES. 10, 650 per session ➢ Per ito neal dialysis – KES. 180, 000 per month ➢ PPM: Case Based",➢ Maximum of 3 sessions per week for haemo dialysis. ➢ Maximum of 2 sessions per week for hemodiafiltration. ➢ Maximum of 12 sessions annually for per ito neal dialysis. ➢ Payments will be made from the SHIF and ECCIF Funds. ➢ Access iblein Level IV-VI facilities with dialysis centres and access to an ambulance and ICU services within 10 km radius.
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Level 4 - 6,itemized,"Dis pen sat ionof medication and main ten ance drug, counselling and follow - up.",,,10.0,,Maximum of 3 sessions per week for haemo dialysis.; Maximum of 2 sessions per week for hemodiafiltration.; Maximum of 12 sessions annually for per ito neal dialysis.; Payments will be made from the SHIF and ECCIF Funds.,"➢ Hemo dialysis & Hemodiafiltration KES. 10, 650 per session ➢ Per ito neal dialysis – KES. 180, 000 per month ➢ PPM: Case Based",➢ Maximum of 3 sessions per week for haemo dialysis. ➢ Maximum of 2 sessions per week for hemodiafiltration. ➢ Maximum of 12 sessions annually for per ito neal dialysis. ➢ Payments will be made from the SHIF and ECCIF Funds. ➢ Access iblein Level IV-VI facilities with dialysis centres and access to an ambulance and ICU services within 10 km radius.
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Level 4 - 6,itemized,Continuous inter mittent dialysis and other dialysis protocols.,,,10.0,,Maximum of 3 sessions per week for haemo dialysis.; Maximum of 2 sessions per week for hemodiafiltration.; Maximum of 12 sessions annually for per ito neal dialysis.; Payments will be made from the SHIF and ECCIF Funds.,"➢ Hemo dialysis & Hemodiafiltration KES. 10, 650 per session ➢ Per ito neal dialysis – KES. 180, 000 per month ➢ PPM: Case Based",➢ Maximum of 3 sessions per week for haemo dialysis. ➢ Maximum of 2 sessions per week for hemodiafiltration. ➢ Maximum of 12 sessions annually for per ito neal dialysis. ➢ Payments will be made from the SHIF and ECCIF Funds. ➢ Access iblein Level IV-VI facilities with dialysis centres and access to an ambulance and ICU services within 10 km radius.
SOCIAL HEALTH INSURANCE FUND,MENTAL WELLLNESS BENEFIT PACKAGE,Level 3 - 6,itemized,The mental health services cover caters for;,,,1.0,Mental illness services will be assessed through the SHIF and ECCI funds.,"Max. 7 out patient visits; Toac cess the benefits, individuals must be paid-up SHA members; Diagnosis and man age mentof behavioral disorders ( inpatient ) shall have limit of up to 35 days.; For beneficiaries whodo not complete the three - st age program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to maximum of 10 days.","Out patient Services ➢ KES. 1, 200 per visit ➢ PPM: Fee for service – Fixed rate Inpatient Services ➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem Rehabilitation for DSA ➢ Detoxification – KES. 14, 000 ➢ Rehabilitation – KES. 125, 000 ➢ PPM: Case based","➢ Max. 7 out patient visits ➢ Toac cess the benefits, individuals must be paid-up SHA members ➢ Mental illness services will be assessed through the SHIF and ECCI funds. ➢ Diagnosis and man age mentof behavioral disorders ( inpatient ) shall have limit of up to 35 days. ➢ Adm iss ions for rehabilitation for drugs and substance abuse shall be pre- authorized. ➢ For beneficiaries whodo not complete the three - st age program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to maximum of 10 days."
SOCIAL HEALTH INSURANCE FUND,MENTAL WELLLNESS BENEFIT PACKAGE,Level 3 - 6,itemized,Mental Health education and counselling.,,,1.0,,"Max. 7 out patient visits; Toac cess the benefits, individuals must be paid-up SHA members; Diagnosis and man age mentof behavioral disorders ( inpatient ) shall have limit of up to 35 days.; For beneficiaries whodo not complete the three - st age program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to maximum of 10 days.","Out patient Services ➢ KES. 1, 200 per visit ➢ PPM: Fee for service – Fixed rate Inpatient Services ➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem Rehabilitation for DSA ➢ Detoxification – KES. 14, 000 ➢ Rehabilitation – KES. 125, 000 ➢ PPM: Case based","➢ Max. 7 out patient visits ➢ Toac cess the benefits, individuals must be paid-up SHA members ➢ Mental illness services will be assessed through the SHIF and ECCI funds. ➢ Diagnosis and man age mentof behavioral disorders ( inpatient ) shall have limit of up to 35 days. ➢ Adm iss ions for rehabilitation for drugs and substance abuse shall be pre- authorized. ➢ For beneficiaries whodo not complete the three - st age program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to maximum of 10 days."
SOCIAL HEALTH INSURANCE FUND,MENTAL WELLLNESS BENEFIT PACKAGE,Level 3 - 6,itemized,"Screening, management and referral for behavioral disorders, neuro- develop mental disorders, affective and psycho act ive disorders.",,,1.0,,"Max. 7 out patient visits; Toac cess the benefits, individuals must be paid-up SHA members; Diagnosis and man age mentof behavioral disorders ( inpatient ) shall have limit of up to 35 days.; For beneficiaries whodo not complete the three - st age program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to maximum of 10 days.","Out patient Services ➢ KES. 1, 200 per visit ➢ PPM: Fee for service – Fixed rate Inpatient Services ➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem Rehabilitation for DSA ➢ Detoxification – KES. 14, 000 ➢ Rehabilitation – KES. 125, 000 ➢ PPM: Case based","➢ Max. 7 out patient visits ➢ Toac cess the benefits, individuals must be paid-up SHA members ➢ Mental illness services will be assessed through the SHIF and ECCI funds. ➢ Diagnosis and man age mentof behavioral disorders ( inpatient ) shall have limit of up to 35 days. ➢ Adm iss ions for rehabilitation for drugs and substance abuse shall be pre- authorized. ➢ For beneficiaries whodo not complete the three - st age program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to maximum of 10 days."
SOCIAL HEALTH INSURANCE FUND,MENTAL WELLLNESS BENEFIT PACKAGE,Level 3 - 6,itemized,Rehabilitation for substance related addictive disorders.,Rehabilitation – .,125.0,1.0,Adm iss ions for rehabilitation for drugs and substance abuse shall be pre- authorized.,"Max. 7 out patient visits; Toac cess the benefits, individuals must be paid-up SHA members; Diagnosis and man age mentof behavioral disorders ( inpatient ) shall have limit of up to 35 days.; For beneficiaries whodo not complete the three - st age program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to maximum of 10 days.","Out patient Services ➢ KES. 1, 200 per visit ➢ PPM: Fee for service – Fixed rate Inpatient Services ➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem Rehabilitation for DSA ➢ Detoxification – KES. 14, 000 ➢ Rehabilitation – KES. 125, 000 ➢ PPM: Case based","➢ Max. 7 out patient visits ➢ Toac cess the benefits, individuals must be paid-up SHA members ➢ Mental illness services will be assessed through the SHIF and ECCI funds. ➢ Diagnosis and man age mentof behavioral disorders ( inpatient ) shall have limit of up to 35 days. ➢ Adm iss ions for rehabilitation for drugs and substance abuse shall be pre- authorized. ➢ For beneficiaries whodo not complete the three - st age program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to maximum of 10 days."
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,"➢ Level 3 - 6 ➢ Select ive procurement for Cardiology, Cardiothoracic and vascular, Urology, and Transplant surgeries",block,"The Surgical Package covers the below list of surgical and non- surgical procedures:; Pre- operative admission and care.; Minor, major and special ized surgical procedures including organ transplants and implants.; Administration of blood and blood products; derivatives and",,,,,"Minor surgical procedures per for med at Level 2 & 3 facilities will be funded from the PHC fund.; Emergency surgical pro ceduresto stab ilize trauma and poly trauma patients with head, cardiac, pulmonary, and critical limb injuries within 24 hours will be covered under",PPM: Fee for Service – Fixed rate Schedule of tariffs annexed.,"➢ Minor surgical procedures per for med at Level 2 & 3 facilities will be funded from the PHC fund. ➢ Emergency surgical pro ceduresto stab ilize trauma and poly trauma patients with head, cardiac, pulmonary, and critical limb injuries within 24 hours will be covered under"
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,"the Accident and Emergency Package in the ECCIF fund. ➢ Palliative surgery shall be paid under ECCIF. ➢ Major and special ized surgical procedures will be provided at Level 4 - 6 facilities with at least 2 operating the atres. ➢ Procurement of eligible minor, major and special ized procedures from single specialty providers. ➢ Access to specific major and special ized procedures will be limited to facilities with appropriate installed equipment, affiliated surgical and anes the sia per son nel. ➢ Co-payment allowed for laser and laparoscopic surgeries.",block,"components, artificial blood products, and biological serum.; Management of int rao per ative complications and complications follow ing the surgical procedure.; All additional medical or surgical service required during the post operative period because of complications that do not require additional trips to the operating room.; Post operative visits - follow - up visits during the post operative period that are related to recovery.; Post - pro cedure pain management.; Post - op era tive ward physio the rapy.; Supplies - except for those identified as exclusions.; Mis cell aneous services - items such as dressing changes; local incisional care; removal of the operative pack; removal of cutaneous sutures and staples, lines, wires, tubes, drains, casts, and splints; insertion, irrigation and removal of urinary catheters, routine per ipheral intravenous lines, nasogastric and rectal tubes; and changes and removal of tracheostomy tubes.; Critical care services related to the surgical procedure but within the same case definition.; Diagnostic tests and procedure, including diagnostic radiological procedures related to the surgery.; Immunosuppressive therapy for organ transplants.",,,,,,,
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4 - 6,itemized,"Oncology services shall entail screening and treatment ofc anc ers including breast, pro state, colo rectal, cervical cancer, and child hood cancers.",,,5.0,,"Diagnosis & staging - Limit of KES. 100, 000; 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2 nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemo administration – KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachy the rapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radio the rapy – up to KES. 3, 600 per session","➢ Diagnosis & staging - Limit of KES. 100, 000 ➢ 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢ 2 nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4 - 6,itemized,"Administration of Chemo the rapy, Radio the rapy, Brachy the rapy and Radio surgery",Chemo administration – .,5.0,5.0,,"Diagnosis & staging - Limit of KES. 100, 000; 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2 nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemo administration – KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachy the rapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radio the rapy – up to KES. 3, 600 per session","➢ Diagnosis & staging - Limit of KES. 100, 000 ➢ 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢ 2 nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4 - 6,itemized,"Consumables, stoma appliances, premeds, and post meds",,,5.0,,"Diagnosis & staging - Limit of KES. 100, 000; 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2 nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemo administration – KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachy the rapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radio the rapy – up to KES. 3, 600 per session","➢ Diagnosis & staging - Limit of KES. 100, 000 ➢ 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢ 2 nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4 - 6,itemized,Chemo the rapy pump,Brachy the rapy – up to .,40.0,5.0,,"Diagnosis & staging - Limit of KES. 100, 000; 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2 nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemo administration – KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachy the rapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radio the rapy – up to KES. 3, 600 per session","➢ Diagnosis & staging - Limit of KES. 100, 000 ➢ 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢ 2 nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4 - 6,itemized,Routine and special ized laboratory investigations,,,5.0,,"Diagnosis & staging - Limit of KES. 100, 000; 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2 nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemo administration – KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachy the rapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radio the rapy – up to KES. 3, 600 per session","➢ Diagnosis & staging - Limit of KES. 100, 000 ➢ 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢ 2 nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4 - 6,itemized,"Screening, cross- match ing and administration of blood and blood products; derivatives and components, artificial blood products, and biological serum",,,5.0,,"Diagnosis & staging - Limit of KES. 100, 000; 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2 nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemo administration – KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachy the rapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radio the rapy – up to KES. 3, 600 per session","➢ Diagnosis & staging - Limit of KES. 100, 000 ➢ 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢ 2 nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4 - 6,itemized,Treatment plan ning,,,5.0,,"Diagnosis & staging - Limit of KES. 100, 000; 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2 nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemo administration – KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachy the rapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radio the rapy – up to KES. 3, 600 per session","➢ Diagnosis & staging - Limit of KES. 100, 000 ➢ 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢ 2 nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4 - 6,itemized,Radioiodine therapy,,,5.0,,"Diagnosis & staging - Limit of KES. 100, 000; 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2 nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemo administration – KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachy the rapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radio the rapy – up to KES. 3, 600 per session","➢ Diagnosis & staging - Limit of KES. 100, 000 ➢ 1 st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢ 2 nd Line treatment – KES. 650, 000 from ECCIF"
