fund,service,access_point,mapping_type,scope_item,item_label,item_tariff,block_tariff,item_rules,block_rules,tariff_raw,access_rules_raw
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4-6,itemized,"Medical supplies and equipment, including oxygen.",,,11.0,,"SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care– KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section-maximumstayof72 hours(includingpregnancy emergencies such as Tranexamic acid and magnesium sulphate) ➢ SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4-6,itemized,Postnatal family planning.,,,11.0,,"SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care– KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section-maximumstayof72 hours(includingpregnancy emergencies such as Tranexamic acid and magnesium sulphate) ➢ SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4-6,itemized,"Managementofpostpartum infections and haemorrhage, birth traumas and conditions related to childbirth.",,,11.0,,"SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care– KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section-maximumstayof72 hours(includingpregnancy emergencies such as Tranexamic acid and magnesium sulphate) ➢ SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4-6,itemized,Managementofneonatal conditions.,,,11.0,,"SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care– KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section-maximumstayof72 hours(includingpregnancy emergencies such as Tranexamic acid and magnesium sulphate) ➢ SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,"MATERNITY, NEONATAL AND CHILD HEALTH SERVICES",Level 4-6,itemized,"Obstetricandneonatal complicationsincludingintra- admissionpostpartum / postnatal infections and haemorrhage, birth traumas and conditions related to childbirth.",,,11.0,,"SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership.; In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance.","➢ Normal Delivery and essential newborn care– KES. 11, 200 ➢ Caesarean Section and essential newborn care – KES. 32, 600 ➢ PPM: Case Based","➢ Normal delivery - maximum stay of 48 hours ➢ C-section-maximumstayof72 hours(includingpregnancy emergencies such as Tranexamic acid and magnesium sulphate) ➢ SHIFmaternityserviceswillbe accessedbymembersandtheir dependantswithup-to-date membership. ➢ In case of peripartum and postnatal complications beyond 48 hours for normal deliveries and 72 hours for CS deliveries, then per diem rate takes effect. All claims in this category will have to undergo surveillance."
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Level 4-6,itemized,The management of kidney failure due tochronicdiseaseoracute injuries / diseasesthroughdialysis including:,,,10.0,,Maximum of 3 sessions per week for haemodialysis.; Maximum of 2 sessions per week for hemodiafiltration.; Maximum of 12 sessions annually for peritoneal dialysis.; Payments will be made from the SHIF and ECCIF Funds.,"➢ Hemodialysis & Hemodiafiltration KES. 10, 650 per session ➢ Peritoneal dialysis – KES. 180, 000 per month ➢ PPM: Case Based",➢Maximum of 3 sessions per week for haemodialysis. ➢Maximum of 2 sessions per week for hemodiafiltration. ➢Maximum of 12 sessions annually for peritoneal dialysis. ➢Payments will be made from the SHIF and ECCIF Funds. ➢AccessibleinLevelIV-VIfacilities with dialysis centres and access to an ambulance and ICU services within a 10km radius.
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Level 4-6,itemized,Consultationandspecialist's review.,,,10.0,,Maximum of 3 sessions per week for haemodialysis.; Maximum of 2 sessions per week for hemodiafiltration.; Maximum of 12 sessions annually for peritoneal dialysis.; Payments will be made from the SHIF and ECCIF Funds.,"➢ Hemodialysis & Hemodiafiltration KES. 10, 650 per session ➢ Peritoneal dialysis – KES. 180, 000 per month ➢ PPM: Case Based",➢Maximum of 3 sessions per week for haemodialysis. ➢Maximum of 2 sessions per week for hemodiafiltration. ➢Maximum of 12 sessions annually for peritoneal dialysis. ➢Payments will be made from the SHIF and ECCIF Funds. ➢AccessibleinLevelIV-VIfacilities with dialysis centres and access to an ambulance and ICU services within a 10km radius.
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Level 4-6,itemized,Costofthetemporarycatheter and insertion / removal.,,,10.0,,Maximum of 3 sessions per week for haemodialysis.; Maximum of 2 sessions per week for hemodiafiltration.; Maximum of 12 sessions annually for peritoneal dialysis.; Payments will be made from the SHIF and ECCIF Funds.,"➢ Hemodialysis & Hemodiafiltration KES. 10, 650 per session ➢ Peritoneal dialysis – KES. 180, 000 per month ➢ PPM: Case Based",➢Maximum of 3 sessions per week for haemodialysis. ➢Maximum of 2 sessions per week for hemodiafiltration. ➢Maximum of 12 sessions annually for peritoneal dialysis. ➢Payments will be made from the SHIF and ECCIF Funds. ➢AccessibleinLevelIV-VIfacilities with dialysis centres and access to an ambulance and ICU services within a 10km radius.
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Level 4-6,itemized,Nursing care and dialysis services.,Peritoneal dialysis – .,180.0,10.0,AccessibleinLevelIV-VIfacilities with dialysis centres and access to an ambulance and ICU services within a 10km radius.,Maximum of 3 sessions per week for haemodialysis.; Maximum of 2 sessions per week for hemodiafiltration.; Maximum of 12 sessions annually for peritoneal dialysis.; Payments will be made from the SHIF and ECCIF Funds.,"➢ Hemodialysis & Hemodiafiltration KES. 10, 650 per session ➢ Peritoneal dialysis – KES. 180, 000 per month ➢ PPM: Case Based",➢Maximum of 3 sessions per week for haemodialysis. ➢Maximum of 2 sessions per week for hemodiafiltration. ➢Maximum of 12 sessions annually for peritoneal dialysis. ➢Payments will be made from the SHIF and ECCIF Funds. ➢AccessibleinLevelIV-VIfacilities with dialysis centres and access to an ambulance and ICU services within a 10km radius.
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Level 4-6,itemized,Routine laboratory investigations.,,,10.0,,Maximum of 3 sessions per week for haemodialysis.; Maximum of 2 sessions per week for hemodiafiltration.; Maximum of 12 sessions annually for peritoneal dialysis.; Payments will be made from the SHIF and ECCIF Funds.,"➢ Hemodialysis & Hemodiafiltration KES. 10, 650 per session ➢ Peritoneal dialysis – KES. 180, 000 per month ➢ PPM: Case Based",➢Maximum of 3 sessions per week for haemodialysis. ➢Maximum of 2 sessions per week for hemodiafiltration. ➢Maximum of 12 sessions annually for peritoneal dialysis. ➢Payments will be made from the SHIF and ECCIF Funds. ➢AccessibleinLevelIV-VIfacilities with dialysis centres and access to an ambulance and ICU services within a 10km radius.
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Level 4-6,itemized,"Dispensationofmedicationand maintenancedrug, counselling and follow-up.",,,10.0,,Maximum of 3 sessions per week for haemodialysis.; Maximum of 2 sessions per week for hemodiafiltration.; Maximum of 12 sessions annually for peritoneal dialysis.; Payments will be made from the SHIF and ECCIF Funds.,"➢ Hemodialysis & Hemodiafiltration KES. 10, 650 per session ➢ Peritoneal dialysis – KES. 180, 000 per month ➢ PPM: Case Based",➢Maximum of 3 sessions per week for haemodialysis. ➢Maximum of 2 sessions per week for hemodiafiltration. ➢Maximum of 12 sessions annually for peritoneal dialysis. ➢Payments will be made from the SHIF and ECCIF Funds. ➢AccessibleinLevelIV-VIfacilities with dialysis centres and access to an ambulance and ICU services within a 10km radius.
SOCIAL HEALTH INSURANCE FUND,RENAL CARE PACKAGE,Level 4-6,itemized,Continuousintermittentdialysis and other dialysis protocols.,,,10.0,,Maximum of 3 sessions per week for haemodialysis.; Maximum of 2 sessions per week for hemodiafiltration.; Maximum of 12 sessions annually for peritoneal dialysis.; Payments will be made from the SHIF and ECCIF Funds.,"➢ Hemodialysis & Hemodiafiltration KES. 10, 650 per session ➢ Peritoneal dialysis – KES. 180, 000 per month ➢ PPM: Case Based",➢Maximum of 3 sessions per week for haemodialysis. ➢Maximum of 2 sessions per week for hemodiafiltration. ➢Maximum of 12 sessions annually for peritoneal dialysis. ➢Payments will be made from the SHIF and ECCIF Funds. ➢AccessibleinLevelIV-VIfacilities with dialysis centres and access to an ambulance and ICU services within a 10km radius.
SOCIAL HEALTH INSURANCE FUND,MENTAL WELLLNESS BENEFIT PACKAGE,Level 3-6,itemized,The mental health services cover caters for;,,,1.0,Mental illness services will be assessed through the SHIF and ECCI funds.,"Max. 7 outpatient visits; Toaccessthebenefits, individuals must be paid-up SHA members; Diagnosisandmanagementof behavioral disorders (inpatient) shall have a limit of up to 35 days.; Admissionsforrehabilitationfor drugs and substance abuse shall be pre-authorized.; Forbeneficiarieswhodonot complete the three-stage program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to a maximum of 10 days.","Outpatient Services ➢ KES. 1, 200 per visit ➢ PPM: Feeforservice– Fixed rate Inpatient Services ➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem Rehabilitation for DSA ➢ Detoxification–KES. 14, 000 ➢ Rehabilitation–KES. 125, 000 ➢ PPM: Case based","➢ Max. 7 outpatient visits ➢ Toaccessthebenefits, individuals must be paid-up SHA members ➢ Mental illness services will be assessed through the SHIF and ECCI funds. ➢ Diagnosisandmanagementof behavioral disorders (inpatient) shall have a limit of up to 35 days. ➢ Admissionsforrehabilitationfor drugs and substance abuse shall be pre-authorized. ➢ Forbeneficiarieswhodonot complete the three-stage program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to a maximum of 10 days."
SOCIAL HEALTH INSURANCE FUND,MENTAL WELLLNESS BENEFIT PACKAGE,Level 3-6,itemized,MentalHealtheducationand counselling.,,,1.0,,"Max. 7 outpatient visits; Toaccessthebenefits, individuals must be paid-up SHA members; Diagnosisandmanagementof behavioral disorders (inpatient) shall have a limit of up to 35 days.; Admissionsforrehabilitationfor drugs and substance abuse shall be pre-authorized.; Forbeneficiarieswhodonot complete the three-stage program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to a maximum of 10 days.","Outpatient Services ➢ KES. 1, 200 per visit ➢ PPM: Feeforservice– Fixed rate Inpatient Services ➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem Rehabilitation for DSA ➢ Detoxification–KES. 14, 000 ➢ Rehabilitation–KES. 125, 000 ➢ PPM: Case based","➢ Max. 7 outpatient visits ➢ Toaccessthebenefits, individuals must be paid-up SHA members ➢ Mental illness services will be assessed through the SHIF and ECCI funds. ➢ Diagnosisandmanagementof behavioral disorders (inpatient) shall have a limit of up to 35 days. ➢ Admissionsforrehabilitationfor drugs and substance abuse shall be pre-authorized. ➢ Forbeneficiarieswhodonot complete the three-stage program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to a maximum of 10 days."
SOCIAL HEALTH INSURANCE FUND,MENTAL WELLLNESS BENEFIT PACKAGE,Level 3-6,itemized,"Screening, management and referral forbehavioraldisorders, neuro- developmentaldisorders, affective and psychoactive disorders.",,,1.0,,"Max. 7 outpatient visits; Toaccessthebenefits, individuals must be paid-up SHA members; Diagnosisandmanagementof behavioral disorders (inpatient) shall have a limit of up to 35 days.; Admissionsforrehabilitationfor drugs and substance abuse shall be pre-authorized.; Forbeneficiarieswhodonot complete the three-stage program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to a maximum of 10 days.","Outpatient Services ➢ KES. 1, 200 per visit ➢ PPM: Feeforservice– Fixed rate Inpatient Services ➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem Rehabilitation for DSA ➢ Detoxification–KES. 14, 000 ➢ Rehabilitation–KES. 125, 000 ➢ PPM: Case based","➢ Max. 7 outpatient visits ➢ Toaccessthebenefits, individuals must be paid-up SHA members ➢ Mental illness services will be assessed through the SHIF and ECCI funds. ➢ Diagnosisandmanagementof behavioral disorders (inpatient) shall have a limit of up to 35 days. ➢ Admissionsforrehabilitationfor drugs and substance abuse shall be pre-authorized. ➢ Forbeneficiarieswhodonot complete the three-stage program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to a maximum of 10 days."
SOCIAL HEALTH INSURANCE FUND,MENTAL WELLLNESS BENEFIT PACKAGE,Level 3-6,itemized,Rehabilitation for substance related addictive disorders.,Rehabilitation–.,125.0,1.0,,"Max. 7 outpatient visits; Toaccessthebenefits, individuals must be paid-up SHA members; Diagnosisandmanagementof behavioral disorders (inpatient) shall have a limit of up to 35 days.; Admissionsforrehabilitationfor drugs and substance abuse shall be pre-authorized.; Forbeneficiarieswhodonot complete the three-stage program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to a maximum of 10 days.","Outpatient Services ➢ KES. 1, 200 per visit ➢ PPM: Feeforservice– Fixed rate Inpatient Services ➢ Level 4 – KES 3, 500 ➢ Level 5 – KES 4, 000 ➢ Level 6 – KES 5, 000 ➢ PPM: Per Diem Rehabilitation for DSA ➢ Detoxification–KES. 14, 000 ➢ Rehabilitation–KES. 125, 000 ➢ PPM: Case based","➢ Max. 7 outpatient visits ➢ Toaccessthebenefits, individuals must be paid-up SHA members ➢ Mental illness services will be assessed through the SHIF and ECCI funds. ➢ Diagnosisandmanagementof behavioral disorders (inpatient) shall have a limit of up to 35 days. ➢ Admissionsforrehabilitationfor drugs and substance abuse shall be pre-authorized. ➢ Forbeneficiarieswhodonot complete the three-stage program, or attain minimum stay of 45 days, SHA shall reimburse KES 1, 000 for every day of admission up to a maximum of 10 days."
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,"➢ Level 3-6 ➢ Selectiveprocurementfor Cardiology, Cardiothoracic andvascular, Urology, and Transplant surgeries",block,"The Surgical Package covers the below list of surgical and non-surgical procedures:; Pre-operative admission and care.; Minor, major and specialized surgical procedures including organ transplants and implants.; Administration of blood and blood products; derivatives and",,,,,"Minor surgical procedures performed at Level 2 & 3 facilities will be funded from the PHC fund.; Emergencysurgicalproceduresto stabilizetraumaandpolytrauma patientswithhead, cardiac, pulmonary, and critical limb injuries within 24 hours will be covered under",PPM: Fee for Service – Fixed rate Schedule of tariffs annexed.,"➢ Minor surgical procedures performed at Level 2 & 3 facilities will be funded from the PHC fund. ➢ Emergencysurgicalproceduresto stabilizetraumaandpolytrauma patientswithhead, cardiac, pulmonary, and critical limb injuries within 24 hours will be covered under"
SOCIAL HEALTH INSURANCE FUND,SURGICAL SERVICES PACKAGE,"the Accident and Emergency Package in the ECCIF fund. ➢ Palliative surgery shall be paid under ECCIF. ➢ Majorandspecializedsurgical procedures will be provided at Level 4-6 facilities with at least 2 operating theatres. ➢ Procurement of eligible minor, major and specialized procedures from single specialty providers. ➢ Access to specific major and specialized procedures will be limited to facilities with appropriate installed equipment, affiliated surgical and anesthesia personnel. ➢ Co-payment allowed for laser and laparoscopic surgeries.",block,"components, artificial blood products, and biological serum.; Management of intraoperative complications and complications following the surgical procedure.; All additional medical or surgical service required during the postoperative period because of complications that do not require additional trips to the operating room.; Postoperative visits - follow-up visits during the postoperative period that are related to recovery.; Post-procedure pain management.; Post-operative ward physiotherapy.; Supplies - except for those identified as exclusions.; Miscellaneous services - items such as dressing changes; local incisional care; removal of the operative pack; removal of cutaneous sutures and staples, lines, wires, tubes, drains, casts, and splints; insertion, irrigation and removal of urinary catheters, routine peripheral intravenous lines, nasogastric and rectal tubes; and changes and removal of tracheostomy tubes.; Critical care services related to the surgical procedure but within the same case definition.; Diagnostic tests and procedure, including diagnostic radiological procedures related to the surgery.; Immunosuppressive therapy for organ transplants.",,,,,,,
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4-6,itemized,"Oncology services shall entail screening andtreatmentofcancersincluding breast, prostate, colorectal, cervical cancer, and childhood cancers.",,,5.0,,"Diagnosis & staging -Limit of KES. 100, 000; 1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemoadministration– KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachytherapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radiotherapy – up to KES. 3, 600 per session","➢ Diagnosis & staging -Limit of KES. 100, 000 ➢1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢2nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4-6,itemized,"Administration of Chemotherapy, Radiotherapy, Brachytherapy and Radiosurgery",,,5.0,,"Diagnosis & staging -Limit of KES. 100, 000; 1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemoadministration– KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachytherapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radiotherapy – up to KES. 3, 600 per session","➢ Diagnosis & staging -Limit of KES. 100, 000 ➢1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢2nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4-6,itemized,"Consumables, stoma appliances, premeds, and post meds",,,5.0,,"Diagnosis & staging -Limit of KES. 100, 000; 1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemoadministration– KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachytherapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radiotherapy – up to KES. 3, 600 per session","➢ Diagnosis & staging -Limit of KES. 100, 000 ➢1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢2nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4-6,itemized,Chemotherapy pump,,,5.0,,"Diagnosis & staging -Limit of KES. 100, 000; 1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemoadministration– KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachytherapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radiotherapy – up to KES. 3, 600 per session","➢ Diagnosis & staging -Limit of KES. 100, 000 ➢1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢2nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4-6,itemized,Routine and specialized laboratory investigations,,,5.0,,"Diagnosis & staging -Limit of KES. 100, 000; 1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemoadministration– KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachytherapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radiotherapy – up to KES. 3, 600 per session","➢ Diagnosis & staging -Limit of KES. 100, 000 ➢1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢2nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4-6,itemized,"Screening, cross-matching and administration of blood and blood products; derivatives and components, artificial blood products, and biological serum",,,5.0,,"Diagnosis & staging -Limit of KES. 100, 000; 1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemoadministration– KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachytherapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radiotherapy – up to KES. 3, 600 per session","➢ Diagnosis & staging -Limit of KES. 100, 000 ➢1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢2nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4-6,itemized,Treatment planning,,,5.0,,"Diagnosis & staging -Limit of KES. 100, 000; 1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemoadministration– KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachytherapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radiotherapy – up to KES. 3, 600 per session","➢ Diagnosis & staging -Limit of KES. 100, 000 ➢1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢2nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4-6,itemized,Radioiodine therapy,,,5.0,,"Diagnosis & staging -Limit of KES. 100, 000; 1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemoadministration– KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachytherapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radiotherapy – up to KES. 3, 600 per session","➢ Diagnosis & staging -Limit of KES. 100, 000 ➢1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢2nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4-6,itemized,Radiological services where necessary as part of oncological treatment planning,,,5.0,,"Diagnosis & staging -Limit of KES. 100, 000; 1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemoadministration– KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachytherapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radiotherapy – up to KES. 3, 600 per session","➢ Diagnosis & staging -Limit of KES. 100, 000 ➢1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢2nd Line treatment – KES. 650, 000 from ECCIF"
SOCIAL HEALTH INSURANCE FUND,ONCOLOGY SERVICES,Level 4-6,itemized,Management through surgical interventions,,,5.0,,"Diagnosis & staging -Limit of KES. 100, 000; 1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF; 2nd Line treatment – KES. 650, 000 from ECCIF","➢ Chemoadministration– KES. 5, 000 ➢ PET Scan – KES. 53, 500 ➢ PSMA PET Scan – KES. 64, 200 ➢ CT-Scan – KES. 9, 600 ➢ MRI – KES. 11, 000 ➢ Bone scan – KES. 15, 000 ➢ Radionuclide scan – KES. 11, 000 ➢ Brachytherapy – up to KES. 40, 000 ➢ SBRT / SBRS – up to KES. 70, 000 ➢ Radiotherapy – up to KES. 3, 600 per session","➢ Diagnosis & staging -Limit of KES. 100, 000 ➢1st Line treatment – Limit of Kes. 400, 000 from SHIF and KES. 250, 000 from ECCIF ➢2nd Line treatment – KES. 650, 000 from ECCIF"
