service,service_key,category,tariff,tariff_unit,coverage_status,facility_level,facility_levels,exclusion,coverage_condition,limits,source_page,evidence_snippet,raw_text,source_type,confidence,is_free_service
➢ Routine laboratory investigations.,routine laboratory investigations,OTHER,,,included,,[],,,{},8,➢ Routine laboratory investigations.,➢ Routine laboratory investigations.,enhanced_text,LOW,False
with dialysis centres and access to an,with dialysis centres and access to an,DIALYSIS,,,included,,[],,,{},8,with dialysis centres and access to an,with dialysis centres and access to an,enhanced_text,LOW,False
➢ Dispensation of medication and,dispensation of medication and,OTHER,,,included,,[],,,{},8,➢ Dispensation of medication and,➢ Dispensation of medication and,enhanced_text,LOW,False
ambulance and ICU services within a,ambulance and icu services within a,EMERGENCY,,,included,,[],,,{},8,ambulance and ICU services within a,ambulance and ICU services within a,enhanced_text,LOW,False
"maintenance drug, counselling",maintenance drug counselling,OTHER,,,included,,[],,,{},8,"maintenance drug, counselling","maintenance drug, counselling",enhanced_text,LOW,False
"components, artificial blood
products, and biological serum.
➢ Medical supplies and equipment,
including oxygen.
➢ Postnatal family planning.
➢ Management of postpartum
infections and haemorrhage, bir",components artificial blood products and biological serum medical supplies and equipment including oxygen postnatal family planning management of postpartum infections and haemorrhage birth traumas and conditions related to childbirth management of neonatal conditions obstetric and neonatal complications including intra admission postpartum postnatal infections and haemorrhage birth traumas and conditions related to childbirth,MATERNITY,,,included,,[],,,{},8,"components, artificial blood products, and biological serum. ➢ Medical supplies and equipment, including oxygen. ➢ Postnatal family planning. ➢ Management of postpartum infections and haemorrhage, ...","components, artificial blood
products, and biological serum.
➢ Medical supplies and equipment,
including oxygen.
➢ Postnatal family planning.
➢ Management of postpartum
infections and haemorrhage, birth
traumas and conditions related to
childbirth.
➢ Management of neonatal
conditions.
➢ Obstetric and neonatal
complications including intra-
admission postpartum/postnatal
infections and haemorrhage, birth
traumas and conditions related to
childbirth.",enhanced_table_0_row_0,MEDIUM,
"The management of kidney failure due
to chronic disease or acute
injuries/diseases through dialysis
including:
➢ Consultation and specialist's
review.
➢ Cost of the temporary catheter
and insertion/re",the management of kidney failure due to chronic disease or acute injuries diseases through dialysis including consultation and specialist s review cost of the temporary catheter and insertion removal nursing care and dialysis services routine laboratory investigations dispensation of medication and maintenance drug counselling and follow up,DIALYSIS,10650.0,per_session,included,Level 4-6,"[4, 5, 6]",,,{'per_week': 3},8,The management of kidney failure due to chronic disease or acute injuries/diseases through dialysis including: ➢ Consultation and specialist's review. ➢ Cost of the temporary catheter and insertion...,"The management of kidney failure due
to chronic disease or acute
injuries/diseases through dialysis
including:
➢ Consultation and specialist's
review.
➢ Cost of the temporary catheter
and insertion/removal.
➢ Nursing care and dialysis services.
➢ Routine laboratory investigations.
➢ Dispensation of medication and
maintenance drug, counselling
and follow-up. Level 4-6 ➢ Hemodialysis &
Hemodiafiltration KES.
10,650 per session
➢ Peritoneal dialysis – KES.
180,000 per month
➢ PPM: Case Based ➢ Maxi",enhanced_table_0_row_3,HIGH,
➢ Continuous intermittent dialysis,continuous intermittent dialysis,DIALYSIS,,,included,,[],,,{},9,➢ Continuous intermittent dialysis,➢ Continuous intermittent dialysis,enhanced_text,LOW,False
and other dialysis protocols.,and other dialysis protocols,DIALYSIS,,,included,,[],,,{},9,and other dialysis protocols.,and other dialysis protocols.,enhanced_text,LOW,False
MENTAL WELLLNESS BENEFIT PACKAGE,mental welllness benefit package,MENTAL,,,included,,[],,,{},9,MENTAL WELLLNESS BENEFIT PACKAGE,MENTAL WELLLNESS BENEFIT PACKAGE,enhanced_text,LOW,False
➢ Max. 7 outpatient visits,max 7 outpatient visits,OUTPATIENT,,,included,,[],,,{},9,➢ Max. 7 outpatient visits,➢ Max. 7 outpatient visits,enhanced_text,LOW,False
"Outpatient Services ➢ To access the benefits, individuals",outpatient services to access the benefits individuals,OUTPATIENT,,,included,,[],,,{},9,"Outpatient Services ➢ To access the benefits, individuals","Outpatient Services ➢ To access the benefits, individuals",enhanced_text,LOW,False
The mental health services cover caters ➢ PPM: Fee for service – ➢ Mental illness services will be a,the mental health services cover caters ppm fee for service mental illness services will be a,MENTAL,,,included,,[],,,{},9,The mental health services cover caters ➢ PPM: Fee for service – ➢ Mental illness services will be assessed,The mental health services cover caters ➢ PPM: Fee for service – ➢ Mental illness services will be assessed,enhanced_text,LOW,False
➢ Mental Health education and Inpatient Services ➢ Diagnosis and management of,mental health education and inpatient services diagnosis and management of,MENTAL,,,included,,[],,,{},9,➢ Mental Health education and Inpatient Services ➢ Diagnosis and management of,➢ Mental Health education and Inpatient Services ➢ Diagnosis and management of,enhanced_text,LOW,False
"counselling. ➢ Level 4 – KES 3,500 behavioral disorders (inpatient) shall",counselling level 4 kes 3 500 behavioral disorders inpatient shall,OTHER,3500.0,unspecified,included,Level 4,[4],,,{},9,"counselling. ➢ Level 4 – KES 3,500 behavioral disorders (inpatient) shall","counselling. ➢ Level 4 – KES 3,500 behavioral disorders (inpatient) shall",enhanced_text,HIGH,False
"➢ Screening, management and referral ➢ Level 5 – KES 4,000 have a limit of up to 35 days.",screening management and referral level 5 kes 4 000 have a limit of up to 35 days,OTHER,4000.0,unspecified,included,Level 5,[5],,,{'max_days': 35},9,"➢ Screening, management and referral ➢ Level 5 – KES 4,000 have a limit of up to 35 days.","➢ Screening, management and referral ➢ Level 5 – KES 4,000 have a limit of up to 35 days.",enhanced_text,HIGH,False
"for behavioral disorders, neuro- Level 3-6 ➢ Level 6 – KES 5,000 ➢ Admissions for rehabilitation for",for behavioral disorders neuro level 3 6 level 6 kes 5 000 admissions for rehabilitation for,STROKE,5000.0,unspecified,included,Level 3-6,"[3, 4, 5, 6]",,,{},9,"for behavioral disorders, neuro- Level 3-6 ➢ Level 6 – KES 5,000 ➢ Admissions for rehabilitation for","for behavioral disorders, neuro- Level 3-6 ➢ Level 6 – KES 5,000 ➢ Admissions for rehabilitation for",enhanced_text,HIGH,False
"developmental disorders, affective ➢ PPM: Per Diem drugs and substance abuse shall be",developmental disorders affective ppm per diem drugs and substance abuse shall be,MENTAL,,,included,,[],,,{},9,"developmental disorders, affective ➢ PPM: Per Diem drugs and substance abuse shall be","developmental disorders, affective ➢ PPM: Per Diem drugs and substance abuse shall be",enhanced_text,LOW,False
and psychoactive disorders. Rehabilitation for DSA pre-authorized.,and psychoactive disorders rehabilitation for dsa pre authorized,STROKE,,,included,,[],,,{},9,and psychoactive disorders. Rehabilitation for DSA pre-authorized.,and psychoactive disorders. Rehabilitation for DSA pre-authorized.,enhanced_text,LOW,False
➢ Rehabilitation for substance related ➢ Detoxification – KES. ➢ For beneficiaries who do not,rehabilitation for substance related detoxification kes for beneficiaries who do not,STROKE,,,included,,[],,,{},9,➢ Rehabilitation for substance related ➢ Detoxification – KES. ➢ For beneficiaries who do not,➢ Rehabilitation for substance related ➢ Detoxification – KES. ➢ For beneficiaries who do not,enhanced_text,LOW,False
"addictive disorders. 14,000 complete the three-stage program, or",addictive disorders 14 000 complete the three stage program or,OTHER,,,included,,[],,,{},9,"addictive disorders. 14,000 complete the three-stage program, or","addictive disorders. 14,000 complete the three-stage program, or",enhanced_text,LOW,False
"➢ Rehabilitation – KES. attain minimum stay of 45 days, SHA",rehabilitation kes attain minimum stay of 45 days sha,STROKE,,,included,,[],,,{},9,"➢ Rehabilitation – KES. attain minimum stay of 45 days, SHA","➢ Rehabilitation – KES. attain minimum stay of 45 days, SHA",enhanced_text,LOW,False
SURGICAL SERVICES PACKAGE,surgical services package,SURGERY,,,included,,[],,,{},9,SURGICAL SERVICES PACKAGE,SURGICAL SERVICES PACKAGE,enhanced_text,LOW,False
The Surgical Package covers the below,the surgical package covers the below,SURGERY,,,included,,[],,,{},9,The Surgical Package covers the below,The Surgical Package covers the below,enhanced_text,LOW,False
PPM: Fee for Service – Fixed from the PHC fund.,ppm fee for service fixed from the phc fund,OTHER,,,included,,[],,,{},9,PPM: Fee for Service – Fixed from the PHC fund.,PPM: Fee for Service – Fixed from the PHC fund.,enhanced_text,LOW,False
➢ Pre-operative admission and care.,pre operative admission and care,OTHER,,,included,,[],,,{},9,➢ Pre-operative admission and care.,➢ Pre-operative admission and care.,enhanced_text,LOW,False
➢ Selective procurement for rate ➢ Emergency surgical procedures to,selective procurement for rate emergency surgical procedures to,SURGERY,,,included,,[],,,{},9,➢ Selective procurement for rate ➢ Emergency surgical procedures to,➢ Selective procurement for rate ➢ Emergency surgical procedures to,enhanced_text,LOW,False
"and vascular, Urology, and Schedule of tariffs annexed. patients with head, cardiac,",and vascular urology and schedule of tariffs annexed patients with head cardiac,OTHER,,,included,,[],,,{},9,"and vascular, Urology, and Schedule of tariffs annexed. patients with head, cardiac,","and vascular, Urology, and Schedule of tariffs annexed. patients with head, cardiac,",enhanced_text,LOW,False
"The mental health services cover caters
for;
➢ Mental Health education and
counselling.
➢ Screening, management and referral
for behavioral disorders, neuro-
developmental disorders, affective
and psy",the mental health services cover caters for mental health education and counselling screening management and referral for behavioral disorders neuro developmental disorders affective and psychoactive disorders rehabilitation for substance related addictive disorders,MENTAL,1200.0,per_visit,included,Level 3-6,"[3, 4, 5, 6]",,,{'max_days': 35},9,"The mental health services cover caters for; ➢ Mental Health education and counselling. ➢ Screening, management and referral for behavioral disorders, neuro- developmental disorders, affective and ...","The mental health services cover caters
for;
➢ Mental Health education and
counselling.
➢ Screening, management and referral
for behavioral disorders, neuro-
developmental disorders, affective
and psychoactive disorders.
➢ Rehabilitation for substance related
addictive disorders. Level 3-6 Outpatient Services
➢ KES. 1,200 per visit
➢ PPM: Fee for service –
Fixed rate
Inpatient Services
➢ Level 4 – KES 3,500
➢ Level 5 – KES 4,000
➢ Level 6 – KES 5,000
➢ PPM: Per Diem
Rehabilitation for DSA
➢ Deto",enhanced_table_0_row_3,HIGH,
"The Surgical Package covers the below
list of surgical and non-surgical
procedures:
➢ Pre-operative admission and care.
➢ Minor, major and specialized
surgical procedures including organ
transplants a",the surgical package covers the below list of surgical and non surgical procedures pre operative admission and care minor major and specialized surgical procedures including organ transplants and implants administration of blood and blood products derivatives and,SURGERY,,,included,Level 3-6,"[2, 3, 4, 5, 6]",,,{},9,"The Surgical Package covers the below list of surgical and non-surgical procedures: ➢ Pre-operative admission and care. ➢ Minor, major and specialized surgical procedures including organ transplant...","The Surgical Package covers the below
list of surgical and non-surgical
procedures:
➢ Pre-operative admission and care.
➢ Minor, major and specialized
surgical procedures including organ
transplants and implants.
➢ Administration of blood and blood
products; derivatives and ➢ Level 3-6
➢ Selective procurement for
Cardiology, Cardiothoracic
and vascular, Urology, and
Transplant surgeries PPM: Fee for Service – Fixed
rate
Schedule of tariffs annexed. ➢ Minor surgical procedures performed
at Level ",enhanced_table_0_row_6,MEDIUM,
"components, artificial blood the Accident and Emergency Package",components artificial blood the accident and emergency package,EMERGENCY,,,included,,[],,,{},10,"components, artificial blood the Accident and Emergency Package","components, artificial blood the Accident and Emergency Package",enhanced_text,LOW,False
"products, and biological serum. in the ECCIF fund.",products and biological serum in the eccif fund,OTHER,,,included,,[],,,{},10,"products, and biological serum. in the ECCIF fund.","products, and biological serum. in the ECCIF fund.",enhanced_text,LOW,False
➢ Management of intraoperative ➢ Palliative surgery shall be paid under,management of intraoperative palliative surgery shall be paid under,SURGERY,,,included,,[],,,{},10,➢ Management of intraoperative ➢ Palliative surgery shall be paid under,➢ Management of intraoperative ➢ Palliative surgery shall be paid under,enhanced_text,LOW,False
following the surgical procedure. ➢ Major and specialized surgical,following the surgical procedure major and specialized surgical,SURGERY,,,included,,[],,,{},10,following the surgical procedure. ➢ Major and specialized surgical,following the surgical procedure. ➢ Major and specialized surgical,enhanced_text,LOW,False
service required during the 4-6 facilities with at least 2 operating,service required during the 4 6 facilities with at least 2 operating,OTHER,,,included,,[],,,{},10,service required during the 4-6 facilities with at least 2 operating,service required during the 4-6 facilities with at least 2 operating,enhanced_text,LOW,False
"➢ Post-procedure pain management. equipment, affiliated surgical and",post procedure pain management equipment affiliated surgical and,SURGERY,,,included,,[],,,{},10,"➢ Post-procedure pain management. equipment, affiliated surgical and","➢ Post-procedure pain management. equipment, affiliated surgical and",enhanced_text,LOW,False
➢ Post-operative ward physiotherapy. anesthesia personnel.,post operative ward physiotherapy anesthesia personnel,STROKE,,,included,,[],,,{},10,➢ Post-operative ward physiotherapy. anesthesia personnel.,➢ Post-operative ward physiotherapy. anesthesia personnel.,enhanced_text,LOW,False
➢ Miscellaneous services - items such,miscellaneous services items such,OTHER,,,included,,[],,,{},10,➢ Miscellaneous services - items such,➢ Miscellaneous services - items such,enhanced_text,LOW,False
care; removal of the operative pack;,care removal of the operative pack,OTHER,,,included,,[],,,{},10,care; removal of the operative pack;,care; removal of the operative pack;,enhanced_text,LOW,False
"catheters, routine peripheral",catheters routine peripheral,OTHER,,,included,,[],,,{},10,"catheters, routine peripheral","catheters, routine peripheral",enhanced_text,LOW,False
rectal tubes; and changes and,rectal tubes and changes and,OTHER,,,included,,[],,,{},10,rectal tubes; and changes and,rectal tubes; and changes and,enhanced_text,LOW,False
➢ Critical care services related to the,critical care services related to the,OTHER,,,included,,[],,,{},10,➢ Critical care services related to the,➢ Critical care services related to the,enhanced_text,LOW,False
surgical procedure but within the,surgical procedure but within the,SURGERY,,,included,,[],,,{},10,surgical procedure but within the,surgical procedure but within the,enhanced_text,LOW,False
"➢ Diagnostic tests and procedure,",diagnostic tests and procedure,SURGERY,,,included,,[],,,{},11,"➢ Diagnostic tests and procedure,","➢ Diagnostic tests and procedure,",enhanced_text,LOW,False
including diagnostic radiological,including diagnostic radiological,OTHER,,,included,,[],,,{},11,including diagnostic radiological,including diagnostic radiological,enhanced_text,LOW,False
procedures related to the surgery.,procedures related to the surgery,SURGERY,,,included,,[],,,{},11,procedures related to the surgery.,procedures related to the surgery.,enhanced_text,LOW,False
➢ Immunosuppressive therapy for,immunosuppressive therapy for,OTHER,,,included,,[],,,{},11,➢ Immunosuppressive therapy for,➢ Immunosuppressive therapy for,enhanced_text,LOW,False
ONCOLOGY SERVICES,oncology services,ONCOLOGY,,,included,,[],,,{},11,ONCOLOGY SERVICES,ONCOLOGY SERVICES,enhanced_text,LOW,False
Oncology services shall entail screening,oncology services shall entail screening,ONCOLOGY,,,included,,[],,,{},11,Oncology services shall entail screening,Oncology services shall entail screening,enhanced_text,LOW,False
and treatment of cancers including,and treatment of cancers including,ONCOLOGY,,,included,,[],,,{},11,and treatment of cancers including,and treatment of cancers including,enhanced_text,LOW,False
"breast, prostate, colorectal, cervical",breast prostate colorectal cervical,OTHER,,,included,,[],,,{},11,"breast, prostate, colorectal, cervical","breast, prostate, colorectal, cervical",enhanced_text,LOW,False
"cancer, and childhood cancers.",cancer and childhood cancers,ONCOLOGY,,,included,,[],,,{},11,"cancer, and childhood cancers.","cancer, and childhood cancers.",enhanced_text,LOW,False
"➢ Administration of Chemotherapy, ➢ Chemo administration –",administration of chemotherapy chemo administration,ONCOLOGY,,,included,,[],,,{},11,"➢ Administration of Chemotherapy, ➢ Chemo administration –","➢ Administration of Chemotherapy, ➢ Chemo administration –",enhanced_text,LOW,False
"Radiotherapy, Brachytherapy and KES. 5,000",radiotherapy brachytherapy and kes 5 000,ONCOLOGY,5000.0,unspecified,included,,[],,,{},11,"Radiotherapy, Brachytherapy and KES. 5,000","Radiotherapy, Brachytherapy and KES. 5,000",enhanced_text,HIGH,False
"Radiosurgery ➢ PET Scan – KES. 53,500",radiosurgery pet scan kes 53 500,SURGERY,53500.0,unspecified,included,,[],,,{},11,"Radiosurgery ➢ PET Scan – KES. 53,500","Radiosurgery ➢ PET Scan – KES. 53,500",enhanced_text,HIGH,False
"➢ Consumables, stoma appliances, ➢ PSMA PET Scan – KES.",consumables stoma appliances psma pet scan kes,OTHER,,,included,,[],,,{},11,"➢ Consumables, stoma appliances, ➢ PSMA PET Scan – KES.","➢ Consumables, stoma appliances, ➢ PSMA PET Scan – KES.",enhanced_text,LOW,False
"➢ Chemotherapy pump ➢ CT-Scan – KES. 9,600",chemotherapy pump ct scan kes 9 600,ONCOLOGY,9600.0,unspecified,included,,[],,,{},11,"➢ Chemotherapy pump ➢ CT-Scan – KES. 9,600","➢ Chemotherapy pump ➢ CT-Scan – KES. 9,600",enhanced_text,HIGH,False
"➢ Routine and specialized laboratory ➢ MRI – KES. 11,000",routine and specialized laboratory mri kes 11 000,IMAGING,11000.0,unspecified,included,,[],,,{},11,"➢ Routine and specialized laboratory ➢ MRI – KES. 11,000","➢ Routine and specialized laboratory ➢ MRI – KES. 11,000",enhanced_text,HIGH,False
➢ 1st Line treatment – Limit of Kes.,1st line treatment limit of kes,OTHER,,,included,,[],,,{},11,➢ 1st Line treatment – Limit of Kes.,➢ 1st Line treatment – Limit of Kes.,enhanced_text,LOW,False
"investigations ➢ Bone scan – KES. 15,000",investigations bone scan kes 15 000,OTHER,15000.0,unspecified,included,,[],,,{},11,"investigations ➢ Bone scan – KES. 15,000","investigations ➢ Bone scan – KES. 15,000",enhanced_text,HIGH,False
"➢ Screening, cross-matching and ➢ Radionuclide scan – KES.",screening cross matching and radionuclide scan kes,OTHER,,,included,,[],,,{},11,"➢ Screening, cross-matching and ➢ Radionuclide scan – KES.","➢ Screening, cross-matching and ➢ Radionuclide scan – KES.",enhanced_text,LOW,False
"administration of blood and blood 11,000",administration of blood and blood 11 000,OTHER,,,included,,[],,,{},11,"administration of blood and blood 11,000","administration of blood and blood 11,000",enhanced_text,LOW,False
"➢ 2nd Line treatment – KES. 650,000",2nd line treatment kes 650 000,OTHER,650000.0,unspecified,included,,[],,,{},11,"➢ 2nd Line treatment – KES. 650,000","➢ 2nd Line treatment – KES. 650,000",enhanced_text,HIGH,False
products; derivatives and ➢ Brachytherapy – up to,products derivatives and brachytherapy up to,OTHER,,,included,,[],,,{},11,products; derivatives and ➢ Brachytherapy – up to,products; derivatives and ➢ Brachytherapy – up to,enhanced_text,LOW,False
"components, artificial blood KES. 40,000",components artificial blood kes 40 000,OTHER,40000.0,unspecified,included,,[],,,{},11,"components, artificial blood KES. 40,000","components, artificial blood KES. 40,000",enhanced_text,HIGH,False
"products, and biological serum ➢ SBRT/SBRS – up to KES.",products and biological serum sbrt sbrs up to kes,OTHER,,,included,,[],,,{},11,"products, and biological serum ➢ SBRT/SBRS – up to KES.","products, and biological serum ➢ SBRT/SBRS – up to KES.",enhanced_text,LOW,False
"➢ Treatment planning 70,000",treatment planning 70 000,OTHER,,,included,,[],,,{},11,"➢ Treatment planning 70,000","➢ Treatment planning 70,000",enhanced_text,LOW,False
➢ Radioiodine therapy ➢ Radiotherapy – up to KES.,radioiodine therapy radiotherapy up to kes,ONCOLOGY,,,included,,[],,,{},11,➢ Radioiodine therapy ➢ Radiotherapy – up to KES.,➢ Radioiodine therapy ➢ Radiotherapy – up to KES.,enhanced_text,LOW,False
"➢ Radiological services where 3,600 per session",radiological services where 3 600 per session,OTHER,,,included,,[],,,{},11,"➢ Radiological services where 3,600 per session","➢ Radiological services where 3,600 per session",enhanced_text,LOW,False
treatment planning,treatment planning,OTHER,,,included,,[],,,{},11,treatment planning,treatment planning,enhanced_text,LOW,False
➢ Management through surgical,management through surgical,SURGERY,,,included,,[],,,{},11,➢ Management through surgical,➢ Management through surgical,enhanced_text,LOW,False
"➢ Diagnostic tests and procedure,
including diagnostic radiological
procedures related to the surgery.
➢ Immunosuppressive therapy for
organ transplants.",diagnostic tests and procedure including diagnostic radiological procedures related to the surgery immunosuppressive therapy for organ transplants,SURGERY,,,included,,[],,,{},11,"➢ Diagnostic tests and procedure, including diagnostic radiological procedures related to the surgery. ➢ Immunosuppressive therapy for organ transplants.","➢ Diagnostic tests and procedure,
including diagnostic radiological
procedures related to the surgery.
➢ Immunosuppressive therapy for
organ transplants.",enhanced_table_0_row_0,MEDIUM,
"Oncology services shall entail screening
and treatment of cancers including
breast, prostate, colorectal, cervical
cancer, and childhood cancers.
➢ Administration of Chemotherapy,
Radiotherapy, Brachy",oncology services shall entail screening and treatment of cancers including breast prostate colorectal cervical cancer and childhood cancers administration of chemotherapy radiotherapy brachytherapy and radiosurgery consumables stoma appliances premeds and post meds chemotherapy pump routine and specialized laboratory investigations screening cross matching and administration of blood and blood products derivatives and components artificial blood products and biological serum treatment planning radioiodine therapy radiological services where necessary as part of oncological treatment planning management through surgical interventions,ONCOLOGY,5000.0,per_session,included,Level 4-6,"[4, 5, 6]",,,{},11,"Oncology services shall entail screening and treatment of cancers including breast, prostate, colorectal, cervical cancer, and childhood cancers. ➢ Administration of Chemotherapy, Radiotherapy, Bra...","Oncology services shall entail screening
and treatment of cancers including
breast, prostate, colorectal, cervical
cancer, and childhood cancers.
➢ Administration of Chemotherapy,
Radiotherapy, Brachytherapy and
Radiosurgery
➢ Consumables, stoma appliances,
premeds, and post meds
➢ Chemotherapy pump
➢ Routine and specialized laboratory
investigations
➢ Screening, cross-matching and
administration of blood and blood
products; derivatives and
components, artificial blood
products, and biological s",enhanced_table_0_row_3,HIGH,
➢ Management of pre-cancer,management of pre cancer,ONCOLOGY,,,included,,[],,,{},12,➢ Management of pre-cancer,➢ Management of pre-cancer,enhanced_text,LOW,False
MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,medical imaging and other investigations package,IMAGING,,,included,,[],,,{},12,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,MEDICAL IMAGING AND OTHER INVESTIGATIONS PACKAGE,enhanced_text,LOW,False
➢ MRI at 2 images per HH - limited to,mri at 2 images per hh limited to,IMAGING,,,included,,[],,,{},12,➢ MRI at 2 images per HH - limited to,➢ MRI at 2 images per HH - limited to,enhanced_text,LOW,False
"Infective, oncology, neurological,",infective oncology neurological,ONCOLOGY,,,included,,[],,,{},12,"Infective, oncology, neurological,","Infective, oncology, neurological,",enhanced_text,LOW,False
"obstetric conditions, cardiac/CVA-",obstetric conditions cardiac cva,OTHER,,,included,,[],,,{},12,"obstetric conditions, cardiac/CVA-","obstetric conditions, cardiac/CVA-",enhanced_text,LOW,False
"Covers Prescribed specialized imaging ➢ CT scans - limited to Infective,",covers prescribed specialized imaging ct scans limited to infective,IMAGING,,,included,,[],,,{},12,"Covers Prescribed specialized imaging ➢ CT scans - limited to Infective,","Covers Prescribed specialized imaging ➢ CT scans - limited to Infective,",enhanced_text,LOW,False
"services including. oncology, neurological, degenerative",services including oncology neurological degenerative,ONCOLOGY,,,included,,[],,,{},12,"services including. oncology, neurological, degenerative","services including. oncology, neurological, degenerative",enhanced_text,LOW,False
"➢ MRI ➢ MRI – KES 11,000 conditions, specific obstetric",mri mri kes 11 000 conditions specific obstetric,IMAGING,11000.0,unspecified,included,,[],,,{},12,"➢ MRI ➢ MRI – KES 11,000 conditions, specific obstetric","➢ MRI ➢ MRI – KES 11,000 conditions, specific obstetric",enhanced_text,HIGH,False
"➢ CT scans ➢ CT scans – KES 9,600 conditions, cardiac/CVA-related",ct scans ct scans kes 9 600 conditions cardiac cva related,IMAGING,9600.0,unspecified,included,,[],,,{},12,"➢ CT scans ➢ CT scans – KES 9,600 conditions, cardiac/CVA-related","➢ CT scans ➢ CT scans – KES 9,600 conditions, cardiac/CVA-related",enhanced_text,HIGH,False
"➢ CT Angio ➢ All facilities with required ➢ CT Angio – KES 8,000 cases and trauma cases.",ct angio all facilities with required ct angio kes 8 000 cases and trauma cases,OTHER,8000.0,unspecified,included,,[],,,{},12,"➢ CT Angio ➢ All facilities with required ➢ CT Angio – KES 8,000 cases and trauma cases.","➢ CT Angio ➢ All facilities with required ➢ CT Angio – KES 8,000 cases and trauma cases.",enhanced_text,HIGH,False
"➢ Fluoroscopy imaging services. ➢ Fluoroscopy – KES 4,000 ➢ CT scans and CT Angio – 2 images",fluoroscopy imaging services fluoroscopy kes 4 000 ct scans and ct angio 2 images,IMAGING,4000.0,unspecified,included,,[],,,{},12,"➢ Fluoroscopy imaging services. ➢ Fluoroscopy – KES 4,000 ➢ CT scans and CT Angio – 2 images","➢ Fluoroscopy imaging services. ➢ Fluoroscopy – KES 4,000 ➢ CT scans and CT Angio – 2 images",enhanced_text,HIGH,False
➢ Echocardiograms (ECHO) Electroencephalograms ➢ Specialized ultrasounds Continuous x-rays used for,echocardiograms echo electroencephalograms specialized ultrasounds continuous x rays used for,IMAGING,,,included,,[],,,{},12,➢ Echocardiograms (ECHO) Electroencephalograms ➢ Specialized ultrasounds Continuous x-rays used for guiding,➢ Echocardiograms (ECHO) Electroencephalograms ➢ Specialized ultrasounds Continuous x-rays used for guiding,enhanced_text,LOW,False
"➢ Electroencephalograms (EEGs) (EEG), and specialized (Dopplers) – KES 5,000 angiographic and interv",electroencephalograms eegs eeg and specialized dopplers kes 5 000 angiographic and interv,OTHER,5000.0,unspecified,included,,[],,,{},12,"➢ Electroencephalograms (EEGs) (EEG), and specialized (Dopplers) – KES 5,000 angiographic and interventional","➢ Electroencephalograms (EEGs) (EEG), and specialized (Dopplers) – KES 5,000 angiographic and interventional",enhanced_text,HIGH,False
"➢ Reviewing and interpreting purchased from GOK Level – KES 3,500 of the GI tract, and in the OR for",reviewing and interpreting purchased from gok level kes 3 500 of the gi tract and in the or for,OTHER,3500.0,unspecified,included,,[],,,{},12,"➢ Reviewing and interpreting purchased from GOK Level – KES 3,500 of the GI tract, and in the OR for","➢ Reviewing and interpreting purchased from GOK Level – KES 3,500 of the GI tract, and in the OR for",enhanced_text,HIGH,False
radiological images giving the IV-V hospitals. ➢ Electroencephalograms certain surgical procedures (,radiological images giving the iv v hospitals electroencephalograms certain surgical procedures,SURGERY,,,included,,[],,,{},12,radiological images giving the IV-V hospitals. ➢ Electroencephalograms certain surgical procedures (e.g.,radiological images giving the IV-V hospitals. ➢ Electroencephalograms certain surgical procedures (e.g.,enhanced_text,LOW,False
"diagnostic opinion and providing (EEGs) – KES 5,000 for a orthopedic, Urological).",diagnostic opinion and providing eegs kes 5 000 for a orthopedic urological,OTHER,5000.0,unspecified,included,,[],,,{},12,"diagnostic opinion and providing (EEGs) – KES 5,000 for a orthopedic, Urological).","diagnostic opinion and providing (EEGs) – KES 5,000 for a orthopedic, Urological).",enhanced_text,HIGH,False
findings for treatment planning. for diagnosis of clinically detected or,findings for treatment planning for diagnosis of clinically detected or,OUTPATIENT,,,included,,[],,,{},12,findings for treatment planning. for diagnosis of clinically detected or,findings for treatment planning. for diagnosis of clinically detected or,enhanced_text,LOW,False
screening-detected abnormalities.,screening detected abnormalities,OTHER,,,included,,[],,,{},12,screening-detected abnormalities.,screening-detected abnormalities.,enhanced_text,LOW,False
"tendon), detection and",tendon detection and,OTHER,,,included,,[],,,{},12,"tendon), detection and","tendon), detection and",enhanced_text,LOW,False
characterization of soft tissue masses,characterization of soft tissue masses,OTHER,,,included,,[],,,{},12,characterization of soft tissue masses,characterization of soft tissue masses,enhanced_text,LOW,False
"➢ Management of pre-cancer
conditions",management of pre cancer conditions,ONCOLOGY,,,included,,[],,,{},12,➢ Management of pre-cancer conditions,"➢ Management of pre-cancer
conditions",enhanced_table_0_row_0,MEDIUM,
